nome,pres1819,whoscored1819
Gylfi Sigurdsson,17,7.17
Julian Draxler,10,7.09
Victor Wanyama,1,6.5
Steven Nzonzi,13,7.01
Dries Mertens,8,7.11
Diego Godín,10,6.88
Mateo Kovacic,11,6.72
Danny Rose,7,6.7
Juan Mata,7,6.67
Marek Hamsik,9,6.69
David Silva,13,7.5
Axel Witsel,15,7.17
Blaise Matuidi,13,6.94
Hugo Lloris,13,7.08
Manuel Neuer,15,6.08
James Maddison,16,7.12
Lorenzo Pellegrini,9,7.05
Rúben Dias,13,6.81
Joe Gomez,12,6.79
Rony Lopes,4,7.26
Alassane Plea,14,7.09
Rafinha,4,6.67
Juan Cuadrado,7,6.89
Oscar Dos Santos,29,8.16
Kevin Strootman,11,6.85
Jordan Henderson,7,6.41
Cengiz Ünder,11,6.83
Hakan Calhanoglu,13,6.86
Bruno Fernandes,13,7.4
Yacine Brahimi,13,7.29
David Neres,10,6.96
Paulinho,0,5.93
Santiago Ascacíbar,15,6.64
Nikola Milenkovic,15,6.92
Lautaro Martínez,4,6.58
Amine Harit,8,6.89
Pablo Fornals,15,6.82
André Zambo Anguissa,0,5.93
Lucas Tousart,11,6.73
Fabián Ruiz,5,7.34
Nicolas Pépé,18,7.47
Moussa Marega,10,7.35
Giovanni Simeone,14,6.9
Jean-Kévin Augustin,3,6.46
Jefferson Lerma,13,7.02
Talisca,0,5.93
Alex Telles,13,7.46
Abdou Diallo,12,6.9
Wendell,11,6.83
Lucas Vázquez,5,6.63
Elseid Hysaj,13,6.71
Bryan Cristante,9,6.71
Mattia Caldara,0,5.93
Julian Weigl,2,6.59
Alejandro Grimaldo,13,7.2
Ben Davies,11,6.87
Stanislav Lobotka,10,6.72
Victor Lindelöf,12,6.52
Jean-Philippe Gbamin,13,6.7
Nathan Aké,17,6.78
Matteo Politano,12,6.94
Matías Vecino,8,6.61
Ross Barkley,5,6.7
Simone Verdi,4,6.66
Dennis Praet,12,6.9
