le10sport2
39000
36300
35900
8030
1180
4550
811
2040
7530
11600
203
2210
22900
3100
1670
1710
218
168
559
7290
7210
2440
542
7410
6850
4110
136
2610
2880
603
804
2010
1520
1700
1650
2340
673
211
7780
15700
146
1630
2150
6740
4620
794
2670
309
158
240
3120
104
1890
4130
450
61
2640
732
151
136
455
1810
367
208
4960
308
6700
2270
5
8
9600
90
400
488
2710
1180
2960
2040
10
10500
3500
164
953
59
133
255
13400
24200
2370
1
812
87
9
3
290
222
325
267
7
119
687
674
20300
143
1190
4
51
1390
990
128
2710
8240
4840
1110
5980
2580
462
4140
4
6570
10
30
1500
7
1300
10
36
2
313
316
95
135
13700
5
30
218
4
25
930
71
57
99
1640
193
98
317
246
266
6
156
71
572
595
526
5510
20700
381
4030
314
125
276
1
1
9
1
7
32
7
783
336
53
19
308
2
1
31
209
105
1
765
1
39
1430
8
6
5
1930
43
368
10
1010
49
1
3130
3
4
3
122
144
604
7
427
5
595
3
8070
8
45
380
219
199
642
5170
1
4260
7
707
59
200
545
1060
420
80
1500
232
26100
986
447
1
33
32
3
98
101
67
245
4
5080
7
9
1
1
975
2
381
1
11
10
88
3
303
424
6
879
5
453
514
1
7
53
194
81
99
39
8
24
38100
6
3
107
341
3
1
1
2
40
3
1
438
1
2
1
56
1430
4
21
119
3
59
10
55
2240
5
860
358
280
5540
12400
9
87
