gazzetta_google_18
1460
647
3170
348
1010
441
124
208
155
794
117
256
10400
7210
107
3010
97
8
70
5160
110
37
50
835
103
87
90
37
90
62
748
155
165
103
120
400
33
151
57
151
52
611
104
280
104
2070
84
94
16
80
33
654
83
296
102
36
392
42
10
124
58
767
294
212
281
26
204
318
8
4
107
46
50
2620
41
38
6790
78
450
34
46
36
38
415
48
80
54
680
52
6
5
2760
56
804
55
70
63
3
7
35
87
20
23
1350
59
7
39
69
4
16
462
37
596
637
451
207
6
267
1
4
38
35
766
7
24
463
33
2
4
26
448
184
64
4
2830
9
17
8
1780
2490
22
318
3220
2670
56
8
19
38
22
23
24
9820
53
25
189
225
69
9
2
6
9
3
3
248
9
1
3
2
159
2800
84
58
297
33
37
2
39
33
21
2980
1
3
17
48
24
4
67
6
7
2
20
76
5
44
13
298
3
70
3
3
5
212
5
4
34
21
1
456
85
21
36
339
3
23
37
8
145
92
82
69
16
5
431
186
26
2440
10
179
3
164
4
3
8
8
14
374
2
176
8
652
121
24
3
9
71
1
99
309
2
5
5
4
125
2
9
89
2
0
19
4
58
28
68
144
288
310
5
5
21
8
18
1
6
1580
332
1
81
5
160
3
8
1
11
31
1
178
16
53
45
3
25
31
17
49
400
1090
1170
75
2
262
