id,nome,eta,nazione,ruolo,ruolo_detail,squadra,valore,instagram_followers,facebook_followers,twitter_followers
264956,Jean-Kévin Augustin,21,Francia,Attaccante,Punta centrale,RasenBallsport Lipsia,25000000,258623,32698,37797
262980,Jefferson Lerma,24,Colombia,Centrocampista,Mediano,AFC Bournemouth,25000000,46091,,6447
258626,Talisca,24,Brasile,Centrocampista,Trequartista,Guangzhou Evergrande Taobao,25000000,566183,,
255755,Alex Telles,25,Brasile,Difensore,Terzino sinistro,FC Porto,25000000,751898,146669,
229005,Abdou Diallo,22,Francia,Difensore,Difensore centrale,Borussia Dortmund,25000000,,,
228433,Wendell,25,Brasile,Difensore,Terzino sinistro,Bayer 04 Leverkusen,25000000,75640,5311,2342
221316,Lucas Vázquez,27,Spagna,Attaccante,Ala destra,Real Madrid CF,25000000,7136164,2709217,1047135
200056,Elseid Hysaj,24,Albania,Difensore,Terzino destro,SSC Napoli,25000000,218212,,
199248,Bryan Cristante,23,Italia,Centrocampista,Centrale,AS Roma,25000000,146485,,112823
197470,Mattia Caldara,24,Italia,Difensore,Difensore centrale,AC Milan,25000000,479254,,
196792,Julian Weigl,23,Germania,Centrocampista,Mediano,Borussia Dortmund,25000000,559353,209683,143274
193082,Alejandro Grimaldo,23,Spagna,Difensore,Terzino sinistro,Benfica Lisbona,25000000,313722,37454,83393
192765,Ben Davies,25,Galles,Difensore,Terzino sinistro,Tottenham Hotspur,25000000,225142,,176193
192735,Stanislav Lobotka,24,Slovacchia,Centrocampista,Mediano,Celta de Vigo,25000000,24223,,
184573,Victor Lindelöf,24,Svezia,Difensore,Difensore centrale,Manchester United,25000000,1118917,62300,249234
182894,Jean-Philippe Gbamin,23,Costa d'Avorio,Centrocampista,Mediano,1.FSV Magonza 05,25000000,17104,2613,422342
177476,Nathan Aké,23,Olanda,Difensore,Difensore centrale,AFC Bournemouth,25000000,650814,363958,293063
165895,Matteo Politano,25,Italia,Attaccante,Ala destra,FC Internazionale,25000000,267371,22124,17595
143812,Matías Vecino,27,Uruguay,Centrocampista,Centrale,FC Internazionale,25000000,228512,29893,47969
131978,Ross Barkley,25,Inghilterra,Centrocampista,Trequartista,Chelsea FC,25000000,689678,,489651
130360,Simone Verdi,26,Italia,Attaccante,Ala destra,SSC Napoli,25000000,132188,,
129588,Dennis Praet,24,Belgio,Centrocampista,Centrale,UC Sampdoria,25000000,82155,120655,70680
126656,Faouzi Ghoulam,27,Algeria,Difensore,Terzino sinistro,SSC Napoli,25000000,585066,,1540606
124502,Matthias Ginter,24,Germania,Difensore,Difensore centrale,Borussia Mönchengladbach,25000000,331649,261335,110829
111078,Emil Forsberg,27,Svezia,Attaccante,Ala sinistra,RasenBallsport Lipsia,25000000,121510,,15826
106987,Marcel Sabitzer,24,Austria,Attaccante,Ala destra,RasenBallsport Lipsia,25000000,71678,21555,
102226,Thorgan Hazard,25,Belgio,Attaccante,Ala sinistra,Borussia Mönchengladbach,25000000,457000,,271127
100986,Thomas Meunier,27,Belgio,Difensore,Terzino destro,FC Paris Saint-Germain,25000000,851612,128650,306384
88590,Shkodran Mustafi,26,Germania,Difensore,Difensore centrale,FC Arsenal,25000000,1246455,979694,689524
76061,Sime Vrsaljko,26,Croazia,Difensore,Terzino destro,FC Internazionale,25000000,627490,,26098
72047,Iago Aspas,31,Spagna,Attaccante,Punta centrale,Celta de Vigo,25000000,184494,,262502
67082,Vitolo,29,Spagna,Attaccante,Ala sinistra,Atlético de Madrid,25000000,256149,37024,148078
65278,Pedro,31,Spagna,Attaccante,Ala sinistra,Chelsea FC,25000000,5480482,5348928,6606
59344,Asier Illarramendi,28,Spagna,Centrocampista,Mediano,Real Sociedad,25000000,714661,123301,418659
51152,Aleksandar Mitrovic,24,Serbia,Attaccante,Punta centrale,FC Fulham,25000000,82406,52436,
46741,David Luiz,31,Brasile,Difensore,Difensore centrale,Chelsea FC,25000000,18471638,25090978,8754302
41384,Marko Arnautovic,29,Austria,Attaccante,Punta centrale,West Ham United,25000000,244944,602756,
37666,Arturo Vidal,31,Cile,Centrocampista,Centrale,FC Barcellona,25000000,8064479,2096246,4109978
29401,Sami Khedira,31,Germania,Centrocampista,Centrale,Juventus FC,25000000,5108477,6663056,352212
28396,Edin Dzeko,32,Bosnia-Erzegovina,Attaccante,Punta centrale,AS Roma,25000000,1386548,1994556,1537324
27992,Luka Modric,33,Croazia,Centrocampista,Centrale,Real Madrid CF,25000000,16413351,8119011,861716
8806,Cesc Fàbregas,31,Spagna,Centrocampista,Centrale,Chelsea FC,25000000,10345235,7044992,9739920
141050,Danilo Pereira,27,Portogallo,Centrocampista,Mediano,FC Porto,24000000,298375,,
61253,José Callejón,31,Spagna,Attaccante,Ala destra,SSC Napoli,24000000,395728,,830724
