id,nome,eta,nazione,ruolo,ruolo_detail,squadra,valore,instagram_followers,facebook_followers,twitter_followers
171424,Riyad Mahrez,27,Algeria,Attaccante,Ala destra,Manchester City,60000000,2598827,1355133,1472431
170527,Timo Werner,22,Germania,Attaccante,Punta centrale,RasenBallsport Lipsia,60000000,461790,140511,
139208,Virgil van Dijk,27,Olanda,Difensore,Difensore centrale,FC Liverpool,60000000,1815799,,529000
138927,Daniel Carvajal,26,Spagna,Difensore,Terzino destro,Real Madrid CF,60000000,3177922,637283,3502254
128223,Álvaro Morata,26,Spagna,Attaccante,Punta centrale,Chelsea FC,60000000,9840989,7484382,4356784
105470,Alisson,26,Brasile,Portiere,Portiere,FC Liverpool,60000000,3673963,1234101,404576
102017,Jorginho,26,Italia,Centrocampista,Mediano,Chelsea FC,60000000,775397,,
93128,Kalidou Koulibaly,27,Senegal,Difensore,Difensore centrale,SSC Napoli,60000000,619359,86341,106101
60444,Thiago,27,Spagna,Centrocampista,Centrale,FC Bayern Monaco,60000000,4578122,3463398,25214
48280,Edinson Cavani,31,Uruguay,Attaccante,Punta centrale,FC Paris Saint-Germain,60000000,5957071,4893719,1759373
44779,Diego Costa,30,Spagna,Attaccante,Punta centrale,Atlético de Madrid,60000000,3415904,1824875,538871
309400,Kai Havertz,19,Germania,Centrocampista,Trequartista,Bayer 04 Leverkusen,55000000,110004,16778,
186590,John Stones,24,Inghilterra,Difensore,Difensore centrale,Manchester City,55000000,713225,,27945
181767,Marquinhos,24,Brasile,Difensore,Difensore centrale,FC Paris Saint-Germain,55000000,2771656,756345,311661
161056,Joshua Kimmich,23,Germania,Difensore,Terzino destro,FC Bayern Monaco,55000000,2090474,537236,
85370,Sergi Roberto,26,Spagna,Difensore,Terzino destro,FC Barcellona,55000000,6141541,,2327733
75615,Douglas Costa,28,Brasile,Attaccante,Ala destra,Juventus FC,55000000,5028159,866128,397910
40433,Alexis Sánchez,29,Cile,Attaccante,Ala sinistra,Manchester United,55000000,9649632,5005045,2811335
39728,Mats Hummels,29,Germania,Difensore,Difensore centrale,FC Bayern Monaco,55000000,2589705,4077597,2144844
39153,Gonzalo Higuaín,31,Argentina,Attaccante,Punta centrale,AC Milan,55000000,3060533,309052,6831531
362842,Arthur,22,Brasile,Centrocampista,Centrale,FC Barcellona,50000000,2298970,304839,10378
341092,Federico Chiesa,21,Italia,Attaccante,Ala destra,ACF Fiorentina,50000000,234894,23734,2312
326031,Matthijs de Ligt,19,Olanda,Difensore,Difensore centrale,AFC Ajax Amsterdam,50000000,322653,,
281963,Lucas Hernández,22,Francia,Difensore,Terzino sinistro,Atlético de Madrid,50000000,1233571,,235133
250845,José Giménez,23,Uruguay,Difensore,Difensore centrale,Atlético de Madrid,50000000,888046,310836,360437
243714,Kingsley Coman,22,Francia,Attaccante,Ala sinistra,FC Bayern Monaco,50000000,641334,419287,
204069,Milan Skriniar,23,Slovacchia,Difensore,Difensore centrale,FC Internazionale,50000000,485047,38500,336651
192279,Kepa,24,Spagna,Portiere,Portiere,Chelsea FC,50000000,532178,3008,130197
191614,Fred,25,Brasile,Centrocampista,Centrale,Manchester United,50000000,815873,57001,131508
184892,Florian Thauvin,25,Francia,Attaccante,Ala destra,Olympique Marsiglia,50000000,953042,165356,784751
182913,Adrien Rabiot,23,Francia,Centrocampista,Centrale,FC Paris Saint-Germain,50000000,1270036,,69014
176553,Aymeric Laporte,24,Francia,Difensore,Difensore centrale,Manchester City,50000000,354064,155277,132565
166601,Niklas Süle,23,Germania,Difensore,Difensore centrale,FC Bayern Monaco,50000000,420143,,
131505,Rodrigo,27,Spagna,Attaccante,Punta centrale,Valencia CF,50000000,282083,,
105521,Ciro Immobile,28,Italia,Attaccante,Punta centrale,SS Lazio,50000000,627939,857389,346969
95424,Kyle Walker,28,Inghilterra,Difensore,Terzino destro,Manchester City,50000000,1232887,1066955,1364170
91845,Heung-min Son,26,Corea del Sud,Attaccante,Ala sinistra,Tottenham Hotspur,50000000,1699462,823019,
59016,David Alaba,26,Austria,Difensore,Terzino sinistro,FC Bayern Monaco,50000000,4539795,3550134,1753329
58358,Thomas Müller,29,Germania,Attaccante,Seconda punta,FC Bayern Monaco,50000000,6363301,9342075,4129026
52769,Willian,30,Brasile,Attaccante,Ala destra,Chelsea FC,50000000,8054627,6223180,52033
401173,Jadon Sancho,18,Inghilterra,Attaccante,Ala sinistra,Borussia Dortmund,45000000,758122,,92267
387626,Leon Bailey,21,Giamaica,Attaccante,Ala sinistra,Bayer 04 Leverkusen,45000000,299464,37952,19071
378710,Richarlison,21,Brasile,Attaccante,Ala sinistra,FC Everton,45000000,1203403,47898,111914
323704,Malcom,21,Brasile,Attaccante,Ala destra,FC Barcellona,45000000,2107548,,
