onzemondial_google,thesun,marca,bild.de,eurosportDE_google,lequipe_google,mundodeportivo_google,espn_google,bein_google
385,727,299,1880,1360,477,495,140,374
118,444,114,138,138,2760,214,1400,667
241,75,2442,1110,778,270,3460,215,431
137,804,390,208,64,935,551,5080,639
76400,224,137,102,123,2910,520,4530,2250
271,211,386,3230,1190,366,811,462,892
149,247,224,3070,1590,472,519,530,880
2530,1104,6044,834,452,1100,13100,4710,3620
1730,826,6729,1260,765,54600,6420,7090,9000
900,289,574,212,3380,491,1930,410,902
10,23,11,6,4,2940,45,640,724
2,33,7,6,2,222,98,44,295
7,383,59,8,2,190,75,155,228
26,79,118,81,54,134,204,200,372
9,10,281,1,,114,2060,8,140
3,422,0,35,43,44,94,296,240
111,93,34,3,4,190,101,3,94
57,193,17,34,82,77,84,254,233
2,242,6,69,68,30,29,839,184
4,22,86,5,9,44,529,122,332
5,36,887,22,2,110,276,71,103
679,741,94,95,78,4780,294,307,1210
7640,197,70,77,54,143,167,98,671
1160,162,55,89,49,112,526,433,422
57,1091,65,65,70,184,188,948,788
724,70,737,149,47,435,7030,2170,223
70,739,37,46,47,171,233,1110,527
73,24,1059,30,7,92,1470,787,387
8,25,322,36,44,58,1600,677,257
391,1811,212,1030,279,3190,413,1830,1830
172,564,740,116,120,297,925,473,715
106,64,44,585,253,176,113,95,175
8060,473,368,302,260,606,869,562,1890
1,31,4,115,132,14,8,80,54
4,46,1,3,3,57,2440,86,152
110,370,263,68,59,464,607,402,741
362,636,128,97,77,334,375,1490,690
370,15,202,39,2,118,1010,171,134
8,18,492,5,5,62,812,259,65
1870,54,446,52,73,541,617,305,1040
40,25,10,384,203,1710,142,9,101
8,244,216,50,63,72,1150,593,509
4,1047,88,54,4,110,268,575,456
50,92,26,48,32,2550,181,203,1130
59,29,341,55,24,106,2170,288,319
37,68,295,10,61,82,190,251,525
65,99,58,40,10,150,657,216,747
39,101,75,80,24,62,208,104,267
1400,19,12,10,3,27,10,113,67
20,42,1,2,3,58,1290,37,212
3030,67,62,70,8,345,915,140,446
6,104,48,38,7,64,314,193,272
7,10,7,388,223,89,50,55,138
5,25,14,8,7,62,74,79,114
844,354,249,230,138,924,1320,810,1150
6,64,28,440,199,102,90,142,97
40,188,27,598,423,339,1630,2380,1980
68,87,42,1280,844,702,81,1540,828
63,61,377,65,111,1190,646,969,2700
1,719,29,58,8,92,74,348,583
2670,44,166,53,73,201,329,150,380
1110,58,511,9,7,833,651,99,908
231,133,882,320,283,204,1540,550,958
215,340,435,100,66,233,2200,870,418
425,561,138,962,743,189,312,385,935
9,1000,978,103,10,102,1360,347,605
153,650,158,707,461,264,450,365,571
530,340,286,4010,4180,1080,620,381,1760
58,396,33,37,4,109,119,255,281
301,37,107,65,104,609,2430,190,756
640,217,82,155,70,219,438,318,805
396,185,3118,117,301,6970,1230,395,1710
2440,358,667,175,195,330,1580,1830,858
186,1351,43,110,86,399,198,2950,625
129,1225,1139,259,119,300,1510,485,1050
3530,114,287,125,97,316,376,78,981
795,1296,1348,518,298,7250,2850,3180,1540
423,142,226,423,622,326,325,342,688
6570,281,305,141,158,5620,701,241,2900
46,775,175,230,139,1260,346,549,1370
6150,361,1053,63500,24300,2110,1390,515,4070
4,193,6,4,1,9,7,219,75
2000,44,23,3,7,34,141,129,139
6,13,184,4,25,60,2470,147,94
3,407,21,116,68,147,153,705,281
2,16,7,2,2,676,78,79,333
59,3578,98,224,60,1180,58,1130,936
239,17,236,62,38,74,717,151,180
23100,216,1206,137,180,8830,1070,297,1170
7,10,169,3,2,6,609,550,8
1830,59,89,45,7,362,173,154,1090
264,914,75,90,107,204,258,3000,650
8470,44,8,38,6,1260,50,196,520
420,61,57,636,249,74,227,233,326
411,60,47,125,84,89,178,83,120
1,29,126,,,206,169,46,180
9,13,4,3,7,9,26,8,30
900,289,574,212,3400,491,1930,410,1120
4,5,8,205,91,12,22,8,4
200,38,14,25,7,1640,48,1310,44
4930,21,59,20,7,38,184,246,521
3,15,7,275,101,134,35,40,103
6,16,184,8,1,34,649,57,227
5,23,9,6,2,499,27,41,419
9,9,4,7,4,631,65,9,510
594,9,94,2,4,41,123,86,100
8,85,16,67,10,410,183,171,441
32,21,32,24,5,255,64,56,87
915,40,85,34,6,74,252,132,208
7,26,0,263,197,469,9,39,390
7,61,264,2,8,45,1220,58,120
50,35,62,44,5,140,128,37,221
300,23,54,4,2,115,78,62,84
