gazzetta_google_all
5580
11900
34300
4470
2940
1190
806
1330
2490
10300
394
1480
77100
45400
239
16300
1490
35
611
38700
830
706
548
4440
252
418
355
162
848
285
6930
626
1190
717
2580
1120
80
363
231
2000
324
3250
638
2140
1050
11300
502
399
39
228
118
9460
503
524
162
407
1120
314
26
1790
296
9380
848
1450
1610
586
3420
2770
2
52
1060
177
178
8350
605
445
43300
639
2060
755
382
301
1120
4250
41
691
147
7780
129
4
24
11100
290
2440
445
332
590
10
7
54
160
74
158
4500
206
19
68
285
5
357
2360
268
5890
2130
2700
1170
51
253
9
5
219
1300
2930
293
60
5570
228
3
7
78
701
1470
178
6
11400
25
9
21
10400
10700
217
1100
16800
8430
806
46
188
337
119
364
139
48000
605
188
3400
1810
882
10
2
6
26
9
3
868
57
2
4
5
1240
24000
1140
47
831
88
92
8
294
228
64
10900
1
4
96
232
363
8
2490
15
8
5
43
39
39
65
39
1640
10
3550
6
7
5
899
6
36
103
64
1
2790
1110
230
196
417
9
151
451
74
246
680
334
1960
155
144
3580
926
644
23400
46
6810
4
694
5
3
2
62
218
21500
7
1790
200
6750
646
449
1
9
882
4
224
4650
2
6
5
9
224
8
81
1440
7
7
50
226
101
80
291
5680
1080
975
8
19
220
9
261
3
2
3040
1190
6
380
8
1120
9
19
3
54
105
701
926
110
120
342
153
165
571
249
783
3170
5720
6320
2080
96
2330
