nome,wiki,urls,wiki_visual,wiki_avg
Manuel Akanji,https://en.wikipedia.org/wiki/Manuel_Akanji,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Manuel_Akanji,267328,755
Iñigo Martínez,https://en.wikipedia.org/wiki/Iñigo_Martínez,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Iñigo_Martínez,117789,333
Lucas Moura,https://en.wikipedia.org/wiki/Lucas_Moura,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Lucas_Moura,888419,2510
Jan Vertonghen,https://en.wikipedia.org/wiki/Jan_Vertonghen,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Jan_Vertonghen,386111,1091
Maximiliano Gómez,https://en.wikipedia.org/wiki/Maxi_Gómez,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Maxi_Gómez,154659,437
Carlos Soler,https://en.wikipedia.org/wiki/Carlos_Soler_(footballer),https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Carlos_Soler_(footballer),62187,176
Giovani Lo Celso,https://en.wikipedia.org/wiki/Giovani_Lo_Celso,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Giovani_Lo_Celso,421496,1191
Dayot Upamecano,https://en.wikipedia.org/wiki/Dayot_Upamecano,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Dayot_Upamecano,85452,241
Yerry Mina,https://en.wikipedia.org/wiki/Yerry_Mina,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Yerry_Mina,1483844,4192
Eric Bailly,https://en.wikipedia.org/wiki/Eric_Bailly,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Eric_Bailly,335682,948
Presnel Kimpembe,https://en.wikipedia.org/wiki/Presnel_Kimpembe,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Presnel_Kimpembe,421477,1191
Álvaro Odriozola,https://en.wikipedia.org/wiki/Álvaro_Odriozola,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Álvaro_Odriozola,371255,1049
Ángel Correa,https://en.wikipedia.org/wiki/Ángel_Correa,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Ángel_Correa,205883,582
Aleksandr Golovin,https://en.wikipedia.org/wiki/Aleksandr_Golovin_(footballer),https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Aleksandr_Golovin_(footballer),515455,1456
Gelson Martins,https://en.wikipedia.org/wiki/Gelson_Martins,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Gelson_Martins,292179,825
Nicolò Barella,https://en.wikipedia.org/wiki/Nicolò_Barella,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Nicolò_Barella,95054,269
Iñaki Williams,https://en.wikipedia.org/wiki/Iñaki_Williams,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Iñaki_Williams,160455,453
Keita Baldé,https://en.wikipedia.org/wiki/Keita_Baldé,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Keita_Baldé,263621,745
Nélson Semedo,https://en.wikipedia.org/wiki/Nélson_Semedo,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Nélson_Semedo,291922,825
Thilo Kehrer,https://en.wikipedia.org/wiki/Thilo_Kehrer,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Thilo_Kehrer,189628,536
Hakim Ziyech,https://en.wikipedia.org/wiki/Hakim_Ziyech,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Hakim_Ziyech,267147,755
André Silva,"https://en.wikipedia.org/.../André_Silva_(footballer,_born_1995...","https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=André_Silva_(footballer,_born_1995...",,
Ante Rebic,https://en.wikipedia.org/wiki/Ante_Rebic,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Ante_Rebic,3002,8
Jean Michaël Seri,https://en.wikipedia.org/wiki/Jean_Michaël_Seri,https://tools.wmflabs.org/pageviews/?project=en.wikipedia.org&platform=all-access&agent=user&start=2018-01-01&end=2018-12-20&pages=Jean_Michaël_Seri,133220,376
