skysport_google_all,skysport_google_18,skyitalia_google_all,skyitalia_google_18,eurosport_google_all,eurosport_google_18
19,8,21,19,471,55
762,428,21,26,622,107
63,22,39,8,102,10
624,110,63,89,900,75
501,280,1178,646,1820,250
301,56,3420,2950,15500,8260
5,4,4,2,208,38
259,182,957,155,978,124
1280,447,25,11,2080,144
513,174,142,70,458,126
101,23,151,51,666,208
88,27,124,40,438,41
71,7,3,3,210,5
32,39,4,2,30,27
345,136,339,101,1360,164
4,2,1,1,6,5
97,32,2240,810,157,93
202,24,200,183,370,228
37,7,3,1,51,15
41,34,8,7,408,34
87,64,94,48,127,29
27,8,20,6,64,15
59,19,267,169,281,125
253,99,9,7,215,29
34,21,24,21,107,28
97,39,315,194,405,113
81,39,1,1,130,8
234,3,2,2,252,2
54,21,33,10,487,35
24,8,39,16,664,34
71,35,90,36,239,29
68,34,67,43,215,33
450,123,218,138,1730,251
47,58,352,158,682,131
47,42,428,198,706,269
51,23,450,181,747,191
67,23,4,4,251,18
23,6,35,18,140,24
1300,397,166,93,1300,128
35,12,20,13,260,28
61500,31600,92,81,1590,174
5,5,1,1,4,3
344,109,43,23,400,29
201,41,724,354,677,235
93,48,584,192,1080,241
3920,1260,25,12,1170,88
41,31,304,160,361,76
57,9,42,9,151,50
45,7,607,117,690,110
98,8,6,6,140,15
107,68,19,5,287,31
44,28,0,0,117,5
142,39,19,10,227,33
122,80,71,43,534,83
3280,1640,91,83,923,111
172,53,327,219,1160,184
199,128,51,27,2740,79
248,15,48,21,1130,41
2570,1210,102,38,966,52
87,18,10,5,395,9
2570,978,194,47,544,58
70200,34200,198,72,2010,172
1090,311,9080,5690,1110,60
344,72,167,57,1660,133
247,110,660,274,2500,312
1150,513,3420,1940,2880,373
1480,440,1240,520,8990,3560
69400,33100,571,237,6410,2440
116,8,71,54,339,113
145,24,722,270,1430,226
