nome,nome_chiave,nome2,insta_hashtag
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,alexoxladechamberlain,52618
Jesse Lingard,Jesse Lingard,jesselingard,73232
Allan,Allan,allan,113473
Suso,Suso,suso,66203
Granit Xhaka,Xhaka,xhaka,119211
Stefan de Vrij,De Vrij,devrij,12742
Stefan Savic,Savic,savic,7898
Kostas Manolas,Manolas,manolas,37108
Antonio Rüdiger,Rudiger,rudiger,32130
Nemanja Matic,Nemanja Matic,nemanjamatic,24456
César Azpilicueta,Azpilicueta,azpilicueta,95232
Ilkay Gündogan,Gundogan,gundogan,57330
Georginio Wijnaldum,Wijnaldum,wijnaldum,73258
Javi Martínez,Javi Martínez,javimartinez,13178
Toby Alderweireld,Alderweireld,alderweireld,16355
Radja Nainggolan,Nainggolan,nainggolan,94023
Marco Reus,Reus,reus,697510
Jérôme Boateng,Jérôme Boateng,jeromeboateng,22726
Sergio Ramos,Sergio Ramos,sergioramos,1125336
Karim Benzema,Benzema,benzema,1069852
Paulinho,Paulinho,paulinho,189100
Tanguy Ndombélé,Ndombele,ndombele,2052
Houssem Aouar,Houssem Aouar,houssemaouar,2107
Ryan Sessegnon,Sessegnon,sessegnon,2046
Vinícius Júnior,Vinícius Júnior,viniciusjunior,11299
Mikel Oyarzabal,Oyarzabal,oyarzabal,2130
Trent Alexander-Arnold,Trent Alexander Arnold,trentalexanderarnold,10755
Franck Kessié,Kessie,kessie,17280
Wilfred Ndidi,Ndidi,ndidi,2590
Andrew Robertson,Andrew Robertson,andrewrobertson,3557
Thomas Partey,Thomas Partey,thomaspartey,1132
José Gayà,José Gayà,josegaya,706
Tiemoué Bakayoko,Bakayoko,bakayoko,33353
Andrea Belotti,Belotti,belotti,26018
Felipe Anderson,Felipe Anderson,felipeanderson,9753
Jordan Pickford,Pickford,pickford,16860
Luis Alberto,Luis Alberto,luisalberto,18882
Kieran Trippier,Trippier,trippier,13281
Pablo Sarabia,Sarabia,sarabia,6938
Nacho Fernández,Nacho Fernández,nachofernandez,33690
Henrikh Mkhitaryan,Mkhitaryan,mkhitaryan,171266
Nicolás Otamendi,Otamendi,otamendi,44918
Andrej Kramaric,Kramaric,kramaric,5408
Leonardo Bonucci,Bonucci,bonucci,133634
Manuel Akanji,Manuel Akanji,manuelakanji,1053
Iñigo Martínez,Iñigo Martínez,inigomartinez,279
Lucas Moura,Lucas Moura,lucasmoura,32380
Jan Vertonghen,Vertonghen,vertonghen,19137
Maximiliano Gómez,Maxi Gomez,maxigomez,989
Carlos Soler,Carlos Soler,carlossoler,680
Giovani Lo Celso,Lo Celso,locelso,8408
Dayot Upamecano,Upamecano,upamecano,718
Yerry Mina,Yerry Mina,yerrymina,43043
Eric Bailly,Eric Bailly,ericbailly,10540
Presnel Kimpembe,Kimpembe,kimpembe,25529
Álvaro Odriozola,Odriozola,odriozola,8168
Ángel Correa,Ángel Correa,angelcorrea,2881
Aleksandr Golovin,Golovin,golovin,16576
Gelson Martins,Gelson Martins,gelsonmartins,2257
Nicolò Barella,Barella,barella,4979
Iñaki Williams,Iñaki Williams,inakiwilliams,381
Keita Baldé,Keita Baldé,keitabalde,6900
Nélson Semedo,Nélson Semedo,nelsonsemedo,9556
Thilo Kehrer,Thilo Kehrer,thilokehrer,4264
Hakim Ziyech,Hakim Ziyech,hakimziyech,9623
André Silva,André Silva,andresilva,34347
Ante Rebic,Ante Rebic,anterebic,12164
Jean Michaël Seri,Jean Michaël Seri,jeanmichaelseri,377
Serge Gnabry,Gnabry,gnabry,10013
Wissam Ben Yedder,Ben Yedder,benyedder,6296
Wilfried Zaha,Wilfried Zaha,wilfriedzaha,2073
Alessandro Florenzi,Florenzi,florenzi,50946
Geoffrey Kondogbia,Kondogbia,kondogbia,11585
Paco Alcácer,Paco Alcácer,pacoalcacer,52055
Willian José,Willian José,willianjose,870
Emre Can,Emre Can,emrecan,81537
Ander Herrera,Ander Herrera,anderherrera,71436
Gylfi Sigurdsson,Sigurdsson,sigurdsson,11184
Julian Draxler,Draxler,draxler,72327
Victor Wanyama,Wanyama,wanyama,16820
Steven Nzonzi,Nzonzi,nzonzi,10324
Dries Mertens,Dries Mertens,driesmertens,24767
Diego Godín,Diego Godín,diegogodin,7332
Mateo Kovacic,Kovacic,kovacic,145563
Danny Rose,Danny Rose,dannyrose,12640
Juan Mata,Juan Mata,juanmata,92661
Marek Hamsik,Hamsik,hamsik,86238
David Silva,David Silva,davidsilva,47167
Axel Witsel,Witsel,witsel,13705
Blaise Matuidi,Matuidi,matuidi,69866
Hugo Lloris,Hugo Lloris,hugolloris,19054
Manuel Neuer,Neuer,neuer,349553
James Maddison,James Maddison,jamesmaddison,3628
