nome,squadra,nazione_squadra
Suso,AC Milan,Italia
Granit Xhaka,FC Arsenal,Inghilterra
Stefan de Vrij,FC Internazionale,Italia
Stefan Savic,Atlético de Madrid,Spagna
Konstantinos Manolas,AS Roma,Italia
Antonio Rüdiger,Chelsea FC,Inghilterra
Nemanja Matic,Manchester United,Inghilterra
César Azpilicueta,Chelsea FC,Inghilterra
Ilkay Gündogan,Manchester City,Inghilterra
Georginio Wijnaldum,FC Liverpool,Inghilterra
Javi Martínez,FC Bayern Monaco,Germania
Toby Alderweireld,Tottenham Hotspur,Inghilterra
Radja Nainggolan,FC Internazionale,Italia
Marco Reus,Borussia Dortmund,Germania
Jérôme Boateng,FC Bayern Monaco,Germania
Sergio Ramos,Real Madrid CF,Spagna
Karim Benzema,Real Madrid CF,Spagna
Paulinho,Guangzhou Evergrande Taobao,Cina
Tanguy Ndombélé,Olympique Lione,Francia
Houssem Aouar,Olympique Lione,Francia
Ryan Sessegnon,FC Fulham,Inghilterra
Vinícius Júnior,Real Madrid CF,Spagna
Mikel Oyarzabal,Real Sociedad,Spagna
Trent Alexander-Arnold,FC Liverpool,Inghilterra
Franck Kessié,AC Milan,Italia
Wilfred Ndidi,Leicester City,Inghilterra
Andrew Robertson,FC Liverpool,Inghilterra
Thomas,Atlético de Madrid,Spagna
José Gayà,Valencia CF,Spagna
Tiemoué Bakayoko,AC Milan,Italia
Andrea Belotti,Torino FC,Italia
Felipe Anderson,West Ham United,Inghilterra
Jordan Pickford,FC Everton,Inghilterra
Luis Alberto,SS Lazio,Italia
Kieran Trippier,Tottenham Hotspur,Inghilterra
Pablo Sarabia,FC Siviglia,Spagna
Nacho Fernández,Real Madrid CF,Spagna
Henrikh Mkhitaryan,FC Arsenal,Inghilterra
Nicolás Otamendi,Manchester City,Inghilterra
Andrej Kramaric,TSG 1899 Hoffenheim,Germania
Leonardo Bonucci,Juventus FC,Italia
Manuel Akanji,Borussia Dortmund,Germania
Iñigo Martínez,Athletic Bilbao,Spagna
Lucas Moura,Tottenham Hotspur,Inghilterra
Jan Vertonghen,Tottenham Hotspur,Inghilterra
Maximiliano Gómez,Celta de Vigo,Spagna
Carlos Soler,Valencia CF,Spagna
Giovani Lo Celso,Real Betis Balompié,Spagna
Dayot Upamecano,RasenBallsport Lipsia,Germania
Yerry Mina,FC Everton,Inghilterra
Eric Bailly,Manchester United,Inghilterra
Presnel Kimpembe,FC Paris Saint-Germain,Francia
Álvaro Odriozola,Real Madrid CF,Spagna
Ángel Correa,Atlético de Madrid,Spagna
Aleksandr Golovin,AS Monaco,Francia
Gelson Martins,Atlético de Madrid,Spagna
Nicolò Barella,Cagliari Calcio,Italia
Iñaki Williams,Athletic Bilbao,Spagna
Keita Baldé,FC Internazionale,Italia
Nélson Semedo,FC Barcellona,Spagna
Thilo Kehrer,FC Paris Saint-Germain,Francia
Hakim Ziyech,AFC Ajax Amsterdam,Olanda
André Silva,FC Siviglia,Spagna
Ante Rebic,Eintracht Francoforte,Germania
Jean Michaël Seri,FC Fulham,Inghilterra
Serge Gnabry,FC Bayern Monaco,Germania
Wissam Ben Yedder,FC Siviglia,Spagna
Wilfried Zaha,Crystal Palace,Inghilterra
Alessandro Florenzi,AS Roma,Italia
Geoffrey Kondogbia,Valencia CF,Spagna
Paco Alcácer,Borussia Dortmund,Germania
Willian José,Real Sociedad,Spagna
Emre Can,Juventus FC,Italia
Ander Herrera,Manchester United,Inghilterra
Gylfi Sigurdsson,FC Everton,Inghilterra
Julian Draxler,FC Paris Saint-Germain,Francia
Victor Wanyama,Tottenham Hotspur,Inghilterra
Stodd Nzonzi,AS Roma,Italia
Dries Mertens,SSC Napoli,Italia
Diego Godín,Atlético de Madrid,Spagna
Mateo Kovacic,Chelsea FC,Inghilterra
Danny Rose,Tottenham Hotspur,Inghilterra
Juan Mata,Manchester United,Inghilterra
Marek Hamsik,SSC Napoli,Italia
