eurosportFR
19400
11200
14000
7010
965
15400
523
6050
10100
1120
224
674
21700
1010
315
99
618
171
684
10700
18300
1400
297
19700
2340
2170
287
256
1630
401
3850
1850
1580
957
1040
2780
508
222
1170
3790
678
539
4150
2410
1290
494
4600
460
216
668
4040
451
954
3640
657
224
4050
609
118
306
468
924
209
147
335
399
17500
1320
19
129
3240
465
385
330
926
499
21700
684
38
248
354
226
860
54
94
533
22300
6230
1670
63
38
319
238
131
638
1280
1140
115
25
166
516
113
833
119
837
63
126
984
20000
140
649
2800
2250
223
27900
4780
40
3720
54
82
37
142
241
77
181
110
90
14
266
264
93
79
6640
97
93
83
174
149
454
102
331
145
277
120
250
202
470
427
2130
292
157
233
355
290
1020
4340
282
905
233
211
872
7
75
81
58
76
79
53
628
206
75
121
298
220
60
70
289
204
83
558
25
79
343
161
50
79
15700
67
111
116
481
43
141
203
113
9
70
213
48
96
31
365
25
3770
91
461
108
183
381
210
233
183
119
143
1230
72
294
163
2050
256
200
441
239
1240
434
2520
1050
669
13
31
48
40
308
259
62
245
20
620
162
39
51
39
180
7
286
1
33
53
66
22
243
3030
21
270
8
118
267
19
75
35
426
42
210
52
70
77
119
22
56
9
106
7
8
41
52
93
9
2
172
79
61
26
173
1070
97
134
109
119
121
119
165
985
67
330
639
481
17700
1460
108
241
