,season,goals,name
0,Season 08/09,1,Aaron Cresswell
1,Season 10/11,5,Aaron Cresswell
2,Season 11/12,1,Aaron Cresswell
3,Season 12/13,4,Aaron Cresswell
4,Season 13/14,2,Aaron Cresswell
5,Season 14/15,2,Aaron Cresswell
6,Season 15/16,2,Aaron Cresswell
7,Season 17/18,1,Aaron Cresswell
0,Season 04/05,1,Aaron Lennon
1,Season 05/06,2,Aaron Lennon
2,Season 06/07,5,Aaron Lennon
3,Season 07/08,3,Aaron Lennon
4,Season 08/09,5,Aaron Lennon
5,Season 09/10,3,Aaron Lennon
6,Season 10/11,3,Aaron Lennon
7,Season 11/12,4,Aaron Lennon
8,Season 12/13,4,Aaron Lennon
9,Season 13/14,1,Aaron Lennon
10,Season 14/15,2,Aaron Lennon
11,Season 15/16,6,Aaron Lennon
12,Season 16/17,1,Aaron Lennon
13,Season 18/19,1,Aaron Lennon
0,Season 13/14,9,Aaron Leya Iseka
1,Season 14/15,11,Aaron Leya Iseka
2,Season 17/18,9,Aaron Leya Iseka
3,Season 18/19,3,Aaron Leya Iseka
0,Season 10/11,1,Aaron Mooy
1,Season 11/12,1,Aaron Mooy
2,Season 12/13,1,Aaron Mooy
3,Season 13/14,4,Aaron Mooy
4,Season 14/15,7,Aaron Mooy
5,Season 15/16,11,Aaron Mooy
6,Season 16/17,4,Aaron Mooy
7,Season 17/18,4,Aaron Mooy
8,Season 18/19,2,Aaron Mooy
0,Season 07/08,2,Aaron Ramsey
1,Season 08/09,1,Aaron Ramsey
2,Season 09/10,4,Aaron Ramsey
3,Season 10/11,3,Aaron Ramsey
4,Season 11/12,3,Aaron Ramsey
5,Season 12/13,2,Aaron Ramsey
6,Season 13/14,16,Aaron Ramsey
7,Season 14/15,10,Aaron Ramsey
8,Season 15/16,6,Aaron Ramsey
9,Season 16/17,4,Aaron Ramsey
10,Season 17/18,11,Aaron Ramsey
11,Season 18/19,2,Aaron Ramsey
0,Season 15/16,1,Aarón Martín
0,Season 15/16,2,Abdallah Ndour
1,Season 16/17,1,Abdallah Ndour
0,Season 12/13,1,Abdel Malik Hsissane
1,Season 14/15,1,Abdel Malik Hsissane
0,Season 14/15,2,Abdelhamid Sabiri
1,Season 15/16,20,Abdelhamid Sabiri
2,Season 16/17,18,Abdelhamid Sabiri
0,Season 14/15,10,Abdou Diakhate
1,Season 15/16,5,Abdou Diakhate
2,Season 16/17,12,Abdou Diakhate
3,Season 17/18,11,Abdou Diakhate
0,Season 15/16,3,Abdou Diallo
1,Season 17/18,3,Abdou Diallo
2,Season 18/19,1,Abdou Diallo
0,Season 10/11,9,Abdoulaye Ba
1,Season 11/12,2,Abdoulaye Ba
2,Season 12/13,2,Abdoulaye Ba
3,Season 13/14,1,Abdoulaye Ba
4,Season 15/16,1,Abdoulaye Ba
5,Season 16/17,5,Abdoulaye Ba
0,Season 13/14,1,Abdoulaye Bamba
1,Season 15/16,1,Abdoulaye Bamba
0,Season 12/13,1,Abdoulaye Doucouré
1,Season 13/14,7,Abdoulaye Doucouré
2,Season 14/15,5,Abdoulaye Doucouré
3,Season 15/16,3,Abdoulaye Doucouré
4,Season 16/17,1,Abdoulaye Doucouré
5,Season 17/18,7,Abdoulaye Doucouré
6,Season 18/19,2,Abdoulaye Doucouré
0,Season 17/18,1,Abdoulaye Touré
1,Season 18/19,2,Abdoulaye Touré
0,Season 14/15,2,Abdul Rahman Baba
1,Season 16/17,1,Abdul Rahman Baba
0,Season 15/16,5,Aboubakar Kamara
1,Season 16/17,11,Aboubakar Kamara
2,Season 17/18,7,Aboubakar Kamara
3,Season 18/19,4,Aboubakar Kamara
0,Season 15/16,2,Achraf Hakimi
1,Season 16/17,3,Achraf Hakimi
2,Season 17/18,2,Achraf Hakimi
3,Season 18/19,1,Achraf Hakimi
0,Season 10/11,3,Achraf Lazaar
1,Season 11/12,1,Achraf Lazaar
2,Season 12/13,1,Achraf Lazaar
3,Season 14/15,2,Achraf Lazaar
4,Season 15/16,1,Achraf Lazaar
5,Season 17/18,1,Achraf Lazaar
0,Season 15/16,9,Adalberto Peñaranda
0,Season 04/05,7,Adam Bodzek
1,Season 05/06,6,Adam Bodzek
2,Season 06/07,1,Adam Bodzek
3,Season 07/08,1,Adam Bodzek
4,Season 09/10,2,Adam Bodzek
5,Season 10/11,1,Adam Bodzek
6,Season 12/13,2,Adam Bodzek
7,Season 13/14,1,Adam Bodzek
8,Season 16/17,1,Adam Bodzek
9,Season 17/18,1,Adam Bodzek
0,Season 07/08,1,Adam Lallana
1,Season 08/09,2,Adam Lallana
2,Season 09/10,19,Adam Lallana
3,Season 10/11,11,Adam Lallana
4,Season 11/12,13,Adam Lallana
5,Season 12/13,3,Adam Lallana
6,Season 13/14,10,Adam Lallana
7,Season 14/15,6,Adam Lallana
8,Season 15/16,7,Adam Lallana
9,Season 16/17,8,Adam Lallana
0,Season 12/13,1,Adam Marusic
1,Season 13/14,6,Adam Marusic
2,Season 14/15,6,Adam Marusic
3,Season 15/16,5,Adam Marusic
4,Season 16/17,5,Adam Marusic
5,Season 17/18,3,Adam Marusic
6,Season 18/19,1,Adam Marusic
0,Season 13/14,3,Adam Masina
1,Season 14/15,3,Adam Masina
2,Season 15/16,2,Adam Masina
3,Season 16/17,1,Adam Masina
0,Season 15/16,6,Adam Ounas
1,Season 16/17,4,Adam Ounas
2,Season 17/18,3,Adam Ounas
3,Season 18/19,2,Adam Ounas
0,Season 10/11,1,Adam Smith
1,Season 11/12,2,Adam Smith
2,Season 12/13,1,Adam Smith
3,Season 15/16,2,Adam Smith
4,Season 16/17,1,Adam Smith
5,Season 17/18,1,Adam Smith
6,Season 18/19,1,Adam Smith
0,Season 12/13,1,Adam Zrelak
1,Season 13/14,8,Adam Zrelak
2,Season 14/15,11,Adam Zrelak
3,Season 15/16,11,Adam Zrelak
4,Season 16/17,2,Adam Zrelak
5,Season 17/18,1,Adam Zrelak
6,Season 18/19,3,Adam Zrelak
0,Season 16/17,5,Adama Diakhaby
1,Season 17/18,3,Adama Diakhaby
0,Season 2013,2,Adama Mbengue
1,Season 2014,4,Adama Mbengue
0,Season 15/16,2,Adama Soumaoro
1,Season 16/17,1,Adama Soumaoro
0,Season 13/14,9,Adama Traoré
1,Season 14/15,6,Adama Traoré
2,Season 15/16,1,Adama Traoré
3,Season 17/18,5,Adama Traoré
4,Season 18/19,1,Adama Traoré
0,Season 14/15,2,Adama Traoré
1,Season 16/17,4,Adama Traoré
2,Season 17/18,3,Adama Traoré
0,Season 12/13,2,Aday
1,Season 14/15,3,Aday
2,Season 15/16,2,Aday
3,Season 17/18,2,Aday
0,Season 15/16,5,Ademola Lookman
1,Season 16/17,11,Ademola Lookman
2,Season 17/18,10,Ademola Lookman
0,Season 08/09,5,Adil Rami
1,Season 09/10,5,Adil Rami
2,Season 11/12,6,Adil Rami
3,Season 12/13,2,Adil Rami
4,Season 13/14,3,Adil Rami
5,Season 14/15,1,Adil Rami
6,Season 15/16,3,Adil Rami
7,Season 17/18,2,Adil Rami
8,Season 18/19,1,Adil Rami
0,Season 07/08,2,Admir Mehmedi
1,Season 08/09,2,Admir Mehmedi
2,Season 09/10,11,Admir Mehmedi
3,Season 10/11,17,Admir Mehmedi
4,Season 11/12,10,Admir Mehmedi
5,Season 13/14,13,Admir Mehmedi
6,Season 14/15,7,Admir Mehmedi
7,Season 15/16,7,Admir Mehmedi
8,Season 16/17,4,Admir Mehmedi
9,Season 17/18,4,Admir Mehmedi
10,Season 18/19,4,Admir Mehmedi
0,Season 12/13,1,Adnan Januzaj
1,Season 13/14,6,Adnan Januzaj
2,Season 14/15,5,Adnan Januzaj
3,Season 15/16,4,Adnan Januzaj
4,Season 16/17,3,Adnan Januzaj
5,Season 17/18,4,Adnan Januzaj
6,Season 18/19,1,Adnan Januzaj
0,Season 08/09,1,Adrian Mariappa
1,Season 09/10,1,Adrian Mariappa
2,Season 10/11,1,Adrian Mariappa
3,Season 11/12,1,Adrian Mariappa
4,Season 12/13,1,Adrian Mariappa
5,Season 13/14,1,Adrian Mariappa
6,Season 17/18,1,Adrian Mariappa
0,Season 13/14,1,Adrien Hunou
1,Season 14/15,4,Adrien Hunou
2,Season 15/16,7,Adrien Hunou
3,Season 16/17,1,Adrien Hunou
4,Season 17/18,8,Adrien Hunou
5,Season 18/19,1,Adrien Hunou
0,Season 12/13,1,Adrien Rabiot
1,Season 13/14,3,Adrien Rabiot
2,Season 14/15,4,Adrien Rabiot
3,Season 15/16,6,Adrien Rabiot
4,Season 16/17,4,Adrien Rabiot
5,Season 17/18,5,Adrien Rabiot
6,Season 18/19,2,Adrien Rabiot
0,Season 09/10,1,Adrien Silva
1,Season 10/11,1,Adrien Silva
2,Season 11/12,8,Adrien Silva
3,Season 12/13,3,Adrien Silva
4,Season 13/14,9,Adrien Silva
5,Season 14/15,10,Adrien Silva
6,Season 15/16,9,Adrien Silva
7,Season 16/17,6,Adrien Silva
8,Season 17/18,1,Adrien Silva
0,Season 15/16,1,Adrien Tamèze
1,Season 17/18,1,Adrien Tamèze
0,Season 14/15,2,Adrien Thomasson
1,Season 15/16,3,Adrien Thomasson
2,Season 16/17,3,Adrien Thomasson
3,Season 17/18,7,Adrien Thomasson
4,Season 18/19,2,Adrien Thomasson
0,Season 14/15,4,Adrián Embarba
1,Season 15/16,2,Adrián Embarba
2,Season 16/17,7,Adrián Embarba
3,Season 17/18,8,Adrián Embarba
4,Season 18/19,2,Adrián Embarba
0,Season 15/16,1,Adrián Marín
0,Season 10/11,1,Afriyie Acquah
1,Season 14/15,1,Afriyie Acquah
2,Season 15/16,3,Afriyie Acquah
3,Season 16/17,2,Afriyie Acquah
4,Season 17/18,1,Afriyie Acquah
0,Season 15/16,5,Ahmet Gürleyen
1,Season 17/18,1,Ahmet Gürleyen
0,Season 13/14,2,Ainsley Maitland-Niles
1,Season 14/15,2,Ainsley Maitland-Niles
2,Season 15/16,2,Ainsley Maitland-Niles
0,Season 07/08,2,Alaixys Romao
1,Season 10/11,2,Alaixys Romao
2,Season 11/12,2,Alaixys Romao
3,Season 13/14,1,Alaixys Romao
4,Season 14/15,2,Alaixys Romao
5,Season 15/16,1,Alaixys Romao
6,Season 16/17,3,Alaixys Romao
7,Season 17/18,3,Alaixys Romao
0,Season 13/14,5,Alassane Plea
1,Season 14/15,3,Alassane Plea
2,Season 15/16,6,Alassane Plea
3,Season 16/17,14,Alassane Plea
4,Season 17/18,21,Alassane Plea
5,Season 18/19,11,Alassane Plea
0,Season 12/13,2,Alberto Cerri
1,Season 13/14,18,Alberto Cerri
2,Season 14/15,4,Alberto Cerri
3,Season 15/16,3,Alberto Cerri
4,Season 16/17,5,Alberto Cerri
5,Season 17/18,19,Alberto Cerri
6,Season 18/19,1,Alberto Cerri
0,Season 12/13,1,Alberto Grassi
1,Season 13/14,3,Alberto Grassi
2,Season 16/17,2,Alberto Grassi
3,Season 17/18,3,Alberto Grassi
0,Season 12/13,1,Alberto Guitián
1,Season 13/14,2,Alberto Guitián
2,Season 14/15,2,Alberto Guitián
3,Season 15/16,2,Alberto Guitián
4,Season 17/18,1,Alberto Guitián
0,Season 12/13,2,Alberto Moreno
1,Season 13/14,3,Alberto Moreno
2,Season 14/15,2,Alberto Moreno
3,Season 15/16,1,Alberto Moreno
0,Season 07/08,11,Alberto Paloschi
1,Season 08/09,12,Alberto Paloschi
2,Season 09/10,4,Alberto Paloschi
3,Season 10/11,2,Alberto Paloschi
4,Season 11/12,6,Alberto Paloschi
5,Season 12/13,7,Alberto Paloschi
6,Season 13/14,15,Alberto Paloschi
7,Season 14/15,9,Alberto Paloschi
8,Season 15/16,11,Alberto Paloschi
9,Season 17/18,7,Alberto Paloschi
10,Season 18/19,2,Alberto Paloschi
0,Season 09/10,1,Albin Ekdal
1,Season 10/11,1,Albin Ekdal
2,Season 11/12,1,Albin Ekdal
3,Season 12/13,1,Albin Ekdal
4,Season 13/14,1,Albin Ekdal
5,Season 14/15,5,Albin Ekdal
6,Season 16/17,1,Albin Ekdal
0,Season 15/16,3,Aleix García
1,Season 16/17,1,Aleix García
2,Season 17/18,1,Aleix García
0,Season 11/12,5,Aleix Vidal
1,Season 12/13,7,Aleix Vidal
2,Season 13/14,7,Aleix Vidal
3,Season 14/15,6,Aleix Vidal
4,Season 16/17,2,Aleix Vidal
5,Season 17/18,2,Aleix Vidal
0,Season 10/11,1,Alejandro Gálvez
1,Season 11/12,2,Alejandro Gálvez
2,Season 13/14,2,Alejandro Gálvez
3,Season 14/15,1,Alejandro Gálvez
4,Season 15/16,1,Alejandro Gálvez
5,Season 17/18,1,Alejandro Gálvez
6,Season 18/19,1,Alejandro Gálvez
0,Season 10/11,10,Alejandro Rodríguez
1,Season 11/12,3,Alejandro Rodríguez
2,Season 12/13,4,Alejandro Rodríguez
3,Season 13/14,8,Alejandro Rodríguez
4,Season 14/15,5,Alejandro Rodríguez
5,Season 15/16,2,Alejandro Rodríguez
6,Season 16/17,6,Alejandro Rodríguez
7,Season 17/18,9,Alejandro Rodríguez
0,Season 06/07,3,Aleksandar Dragovic
1,Season 07/08,7,Aleksandar Dragovic
2,Season 08/09,2,Aleksandar Dragovic
3,Season 10/11,1,Aleksandar Dragovic
4,Season 11/12,1,Aleksandar Dragovic
5,Season 12/13,4,Aleksandar Dragovic
6,Season 14/15,1,Aleksandar Dragovic
7,Season 15/16,1,Aleksandar Dragovic
8,Season 18/19,1,Aleksandar Dragovic
0,Season 06/07,1,Aleksandar Kolarov
1,Season 07/08,3,Aleksandar Kolarov
2,Season 08/09,3,Aleksandar Kolarov
3,Season 09/10,5,Aleksandar Kolarov
4,Season 10/11,3,Aleksandar Kolarov
5,Season 11/12,4,Aleksandar Kolarov
6,Season 12/13,4,Aleksandar Kolarov
7,Season 13/14,4,Aleksandar Kolarov
8,Season 14/15,2,Aleksandar Kolarov
9,Season 15/16,3,Aleksandar Kolarov
10,Season 16/17,1,Aleksandar Kolarov
11,Season 17/18,3,Aleksandar Kolarov
12,Season 18/19,4,Aleksandar Kolarov
0,Season 11/12,7,Aleksandar Mitrovic
1,Season 12/13,15,Aleksandar Mitrovic
2,Season 13/14,20,Aleksandar Mitrovic
3,Season 14/15,28,Aleksandar Mitrovic
4,Season 15/16,9,Aleksandar Mitrovic
5,Season 16/17,6,Aleksandar Mitrovic
6,Season 17/18,15,Aleksandar Mitrovic
7,Season 18/19,7,Aleksandar Mitrovic
0,Season 13/14,2,Aleksandr Golovin
1,Season 14/15,1,Aleksandr Golovin
2,Season 15/16,3,Aleksandr Golovin
3,Season 16/17,3,Aleksandr Golovin
4,Season 17/18,7,Aleksandr Golovin
0,Season 12/13,2,Alen Halilovic
1,Season 13/14,6,Alen Halilovic
2,Season 14/15,4,Alen Halilovic
3,Season 15/16,5,Alen Halilovic
4,Season 16/17,1,Alen Halilovic
5,Season 17/18,2,Alen Halilovic
0,Season 15/16,6,Alessandro Bastoni
1,Season 16/17,5,Alessandro Bastoni
2,Season 17/18,1,Alessandro Bastoni
0,Season 13/14,6,Alessandro Deiola
1,Season 14/15,4,Alessandro Deiola
2,Season 15/16,3,Alessandro Deiola
3,Season 16/17,1,Alessandro Deiola
0,Season 08/09,6,Alessandro Florenzi
1,Season 09/10,9,Alessandro Florenzi
2,Season 10/11,16,Alessandro Florenzi
3,Season 11/12,11,Alessandro Florenzi
4,Season 12/13,4,Alessandro Florenzi
5,Season 13/14,6,Alessandro Florenzi
6,Season 14/15,5,Alessandro Florenzi
7,Season 15/16,8,Alessandro Florenzi
8,Season 16/17,1,Alessandro Florenzi
9,Season 17/18,1,Alessandro Florenzi
10,Season 18/19,2,Alessandro Florenzi
0,Season 04/05,5,Alessandro Matri
1,Season 05/06,14,Alessandro Matri
2,Season 06/07,5,Alessandro Matri
3,Season 07/08,7,Alessandro Matri
4,Season 08/09,7,Alessandro Matri
5,Season 09/10,13,Alessandro Matri
6,Season 10/11,21,Alessandro Matri
7,Season 11/12,10,Alessandro Matri
8,Season 12/13,10,Alessandro Matri
9,Season 13/14,7,Alessandro Matri
10,Season 14/15,10,Alessandro Matri
11,Season 15/16,7,Alessandro Matri
12,Season 16/17,8,Alessandro Matri
13,Season 17/18,3,Alessandro Matri
14,Season 18/19,2,Alessandro Matri
0,Season 13/14,4,Alessandro Murgia
1,Season 14/15,7,Alessandro Murgia
2,Season 15/16,11,Alessandro Murgia
3,Season 16/17,2,Alessandro Murgia
4,Season 17/18,2,Alessandro Murgia
0,Season 14/15,8,Alessandro Rossi
1,Season 15/16,10,Alessandro Rossi
2,Season 16/17,25,Alessandro Rossi
3,Season 17/18,3,Alessandro Rossi
0,Season 10/11,5,Alessandro Schöpf
1,Season 11/12,6,Alessandro Schöpf
2,Season 12/13,11,Alessandro Schöpf
3,Season 13/14,11,Alessandro Schöpf
4,Season 14/15,5,Alessandro Schöpf
5,Season 15/16,10,Alessandro Schöpf
6,Season 16/17,8,Alessandro Schöpf
7,Season 17/18,1,Alessandro Schöpf
8,Season 18/19,1,Alessandro Schöpf
0,Season 14/15,11,Alessio Da Cruz
1,Season 15/16,5,Alessio Da Cruz
2,Season 16/17,8,Alessio Da Cruz
3,Season 17/18,5,Alessio Da Cruz
0,Season 11/12,1,Alessio Romagnoli
1,Season 12/13,1,Alessio Romagnoli
2,Season 13/14,1,Alessio Romagnoli
3,Season 14/15,2,Alessio Romagnoli
4,Season 15/16,2,Alessio Romagnoli
5,Season 16/17,1,Alessio Romagnoli
6,Season 17/18,3,Alessio Romagnoli
7,Season 18/19,2,Alessio Romagnoli
0,Season 12/13,1,Alex Alegría
1,Season 14/15,14,Alex Alegría
2,Season 15/16,12,Alex Alegría
3,Season 16/17,3,Alex Alegría
4,Season 18/19,1,Alex Alegría
0,Season 12/13,1,Alex Ferrari
1,Season 17/18,1,Alex Ferrari
0,Season 13/14,1,Alex Iwobi
1,Season 14/15,12,Alex Iwobi
2,Season 15/16,8,Alex Iwobi
3,Season 16/17,4,Alex Iwobi
4,Season 17/18,3,Alex Iwobi
5,Season 18/19,1,Alex Iwobi
0,Season 10/11,10,Alex Oxlade-Chamberlain
1,Season 11/12,4,Alex Oxlade-Chamberlain
2,Season 12/13,2,Alex Oxlade-Chamberlain
3,Season 13/14,3,Alex Oxlade-Chamberlain
4,Season 14/15,3,Alex Oxlade-Chamberlain
5,Season 15/16,2,Alex Oxlade-Chamberlain
6,Season 16/17,6,Alex Oxlade-Chamberlain
7,Season 17/18,5,Alex Oxlade-Chamberlain
0,Season 12/13,2,Alex Pritchard
1,Season 13/14,7,Alex Pritchard
2,Season 14/15,12,Alex Pritchard
3,Season 15/16,2,Alex Pritchard
4,Season 16/17,7,Alex Pritchard
5,Season 17/18,3,Alex Pritchard
6,Season 18/19,1,Alex Pritchard
0,Season 2010,1,Alex Sandro
1,Season 11/12,1,Alex Sandro
2,Season 12/13,1,Alex Sandro
3,Season 14/15,1,Alex Sandro
4,Season 15/16,2,Alex Sandro
5,Season 16/17,3,Alex Sandro
6,Season 17/18,4,Alex Sandro
0,Season 16/17,1,Alexander Djiku
0,Season 07/08,7,Alexander Esswein
1,Season 09/10,4,Alexander Esswein
2,Season 10/11,17,Alexander Esswein
3,Season 11/12,5,Alexander Esswein
4,Season 12/13,3,Alexander Esswein
5,Season 14/15,1,Alexander Esswein
6,Season 15/16,4,Alexander Esswein
7,Season 16/17,2,Alexander Esswein
8,Season 17/18,2,Alexander Esswein
9,Season 18/19,2,Alexander Esswein
0,Season 13/14,1,Alexander Fuchs
1,Season 14/15,1,Alexander Fuchs
2,Season 15/16,4,Alexander Fuchs
3,Season 16/17,2,Alexander Fuchs
4,Season 17/18,3,Alexander Fuchs
5,Season 18/19,1,Alexander Fuchs
0,Season 12/13,2,Alexander Hack
1,Season 13/14,1,Alexander Hack
2,Season 16/17,1,Alexander Hack
3,Season 17/18,1,Alexander Hack
0,Season 2015,4,Alexander Isak
1,Season 15/16,5,Alexander Isak
2,Season 16/17,2,Alexander Isak
3,Season 2016,6,Alexander Isak
4,Season 17/18,3,Alexander Isak
5,Season 18/19,5,Alexander Isak
0,Season 09/10,1,Alexander Kacaniklic
1,Season 11/12,5,Alexander Kacaniklic
2,Season 12/13,4,Alexander Kacaniklic
3,Season 13/14,1,Alexander Kacaniklic
4,Season 14/15,5,Alexander Kacaniklic
5,Season 15/16,4,Alexander Kacaniklic
0,Season 11/12,3,Alexander Szymanowski
1,Season 12/13,10,Alexander Szymanowski
2,Season 13/14,5,Alexander Szymanowski
3,Season 14/15,1,Alexander Szymanowski
4,Season 15/16,13,Alexander Szymanowski
5,Season 16/17,8,Alexander Szymanowski
6,Season 17/18,2,Alexander Szymanowski
0,Season 13/14,1,Alexander Sörloth
1,Season 2015,14,Alexander Sörloth
2,Season 15/16,2,Alexander Sörloth
3,Season 16/17,4,Alexander Sörloth
4,Season 17/18,15,Alexander Sörloth
5,Season 18/19,1,Alexander Sörloth
0,Season 10/11,2,Alexandre Lacazette
1,Season 11/12,10,Alexandre Lacazette
2,Season 12/13,4,Alexandre Lacazette
3,Season 13/14,22,Alexandre Lacazette
4,Season 14/15,31,Alexandre Lacazette
5,Season 15/16,23,Alexandre Lacazette
6,Season 16/17,37,Alexandre Lacazette
7,Season 17/18,17,Alexandre Lacazette
8,Season 18/19,7,Alexandre Lacazette
0,Season 14/15,3,Alexandre Mendy
1,Season 15/16,6,Alexandre Mendy
2,Season 16/17,6,Alexandre Mendy
3,Season 17/18,4,Alexandre Mendy
0,Season 11/12,4,Alexandru Maxim
1,Season 12/13,7,Alexandru Maxim
2,Season 13/14,7,Alexandru Maxim
3,Season 14/15,2,Alexandru Maxim
4,Season 15/16,2,Alexandru Maxim
5,Season 16/17,5,Alexandru Maxim
6,Season 17/18,2,Alexandru Maxim
7,Season 18/19,3,Alexandru Maxim
0,Season 17/18,1,Alexis Blin
1,Season 18/19,1,Alexis Blin
0,Season 07/08,3,Alexis Sánchez
1,Season 08/09,3,Alexis Sánchez
2,Season 09/10,6,Alexis Sánchez
3,Season 10/11,12,Alexis Sánchez
4,Season 11/12,15,Alexis Sánchez
5,Season 12/13,11,Alexis Sánchez
6,Season 13/14,21,Alexis Sánchez
7,Season 14/15,25,Alexis Sánchez
8,Season 15/16,17,Alexis Sánchez
9,Season 16/17,30,Alexis Sánchez
10,Season 17/18,12,Alexis Sánchez
11,Season 18/19,1,Alexis Sánchez
0,Season 13/14,1,Alfie Mawson
1,Season 14/15,7,Alfie Mawson
2,Season 15/16,7,Alfie Mawson
3,Season 16/17,7,Alfie Mawson
4,Season 17/18,3,Alfie Mawson
0,Season 14/15,1,Alfonso Pedraza
1,Season 15/16,6,Alfonso Pedraza
2,Season 16/17,8,Alfonso Pedraza
3,Season 17/18,4,Alfonso Pedraza
4,Season 18/19,1,Alfonso Pedraza
0,Season 11/12,5,Alfred Duncan
1,Season 12/13,2,Alfred Duncan
2,Season 14/15,1,Alfred Duncan
3,Season 15/16,1,Alfred Duncan
4,Season 16/17,1,Alfred Duncan
5,Season 18/19,2,Alfred Duncan
0,Season 2008,1,Alfred Finnbogason
1,Season 2009,13,Alfred Finnbogason
2,Season 2010,14,Alfred Finnbogason
3,Season 10/11,4,Alfred Finnbogason
4,Season 11/12,14,Alfred Finnbogason
5,Season 12/13,31,Alfred Finnbogason
6,Season 2012,2,Alfred Finnbogason
7,Season 13/14,31,Alfred Finnbogason
8,Season 14/15,4,Alfred Finnbogason
9,Season 15/16,10,Alfred Finnbogason
10,Season 16/17,3,Alfred Finnbogason
11,Season 17/18,12,Alfred Finnbogason
12,Season 18/19,7,Alfred Finnbogason
0,Season 07/08,1,Alfredo Morales
1,Season 08/09,3,Alfredo Morales
2,Season 09/10,4,Alfredo Morales
3,Season 10/11,3,Alfredo Morales
4,Season 11/12,1,Alfredo Morales
5,Season 12/13,5,Alfredo Morales
6,Season 13/14,1,Alfredo Morales
7,Season 14/15,2,Alfredo Morales
8,Season 15/16,1,Alfredo Morales
9,Season 16/17,1,Alfredo Morales
10,Season 17/18,5,Alfredo Morales
11,Season 18/19,1,Alfredo Morales
0,Season 13/14,3,Ali Adnan
1,Season 14/15,1,Ali Adnan
2,Season 15/16,1,Ali Adnan
3,Season 17/18,1,Ali Adnan
0,Season 11/12,2,Alireza Jahanbakhsh
1,Season 12/13,8,Alireza Jahanbakhsh
2,Season 13/14,12,Alireza Jahanbakhsh
3,Season 14/15,13,Alireza Jahanbakhsh
4,Season 15/16,3,Alireza Jahanbakhsh
5,Season 16/17,12,Alireza Jahanbakhsh
6,Season 17/18,22,Alireza Jahanbakhsh
0,Season 2011,1,Allan
1,Season 14/15,2,Allan
2,Season 15/16,3,Allan
3,Season 16/17,1,Allan
4,Season 17/18,4,Allan
0,Season 2015,1,Allan
0,Season 10/11,1,Allan Nyom
1,Season 14/15,1,Allan Nyom
2,Season 18/19,1,Allan Nyom
0,Season 15/16,1,Allan Saint-Maximin
1,Season 16/17,3,Allan Saint-Maximin
2,Season 17/18,5,Allan Saint-Maximin
3,Season 18/19,3,Allan Saint-Maximin
0,Season 14/15,4,Almamy Touré
1,Season 15/16,3,Almamy Touré
2,Season 17/18,1,Almamy Touré
0,Season 17/18,2,Aly Ndom
0,Season 17/18,2,Amadou Diawara
0,Season 14/15,3,Amath Ndiaye
1,Season 16/17,13,Amath Ndiaye
2,Season 17/18,3,Amath Ndiaye
3,Season 18/19,1,Amath Ndiaye
0,Season 10/11,6,Amato Ciciretti
1,Season 11/12,7,Amato Ciciretti
2,Season 13/14,1,Amato Ciciretti
3,Season 14/15,3,Amato Ciciretti
4,Season 15/16,8,Amato Ciciretti
5,Season 16/17,6,Amato Ciciretti
6,Season 17/18,4,Amato Ciciretti
0,Season 2015,1,Ambroise Oyongo
1,Season 2016,1,Ambroise Oyongo
2,Season 2017,1,Ambroise Oyongo
3,Season 18/19,2,Ambroise Oyongo
0,Season 08/09,1,Amin Younes
1,Season 09/10,7,Amin Younes
2,Season 10/11,3,Amin Younes
3,Season 11/12,3,Amin Younes
4,Season 12/13,3,Amin Younes
5,Season 14/15,2,Amin Younes
6,Season 15/16,10,Amin Younes
7,Season 16/17,7,Amin Younes
8,Season 17/18,4,Amin Younes
0,Season 16/17,1,Amine Harit
1,Season 17/18,3,Amine Harit
2,Season 18/19,1,Amine Harit
0,Season 07/08,2,Amir Abrashi
1,Season 08/09,1,Amir Abrashi
2,Season 09/10,4,Amir Abrashi
3,Season 10/11,4,Amir Abrashi
4,Season 12/13,3,Amir Abrashi
5,Season 13/14,1,Amir Abrashi
6,Season 14/15,3,Amir Abrashi
7,Season 15/16,3,Amir Abrashi
8,Season 16/17,1,Amir Abrashi
0,Season 11/12,3,Anaitz Arbilla
1,Season 13/14,1,Anaitz Arbilla
2,Season 14/15,1,Anaitz Arbilla
3,Season 17/18,2,Anaitz Arbilla
4,Season 18/19,1,Anaitz Arbilla
0,Season 13/14,15,Anastasios Donis
1,Season 14/15,4,Anastasios Donis
2,Season 15/16,10,Anastasios Donis
3,Season 16/17,5,Anastasios Donis
4,Season 17/18,2,Anastasios Donis
5,Season 18/19,2,Anastasios Donis
0,Season 11/12,7,Anatole Ngamukol
1,Season 12/13,15,Anatole Ngamukol
2,Season 13/14,6,Anatole Ngamukol
3,Season 14/15,3,Anatole Ngamukol
4,Season 15/16,11,Anatole Ngamukol
5,Season 16/17,7,Anatole Ngamukol
6,Season 17/18,1,Anatole Ngamukol
0,Season 12/13,7,Ander Capa
1,Season 13/14,3,Ander Capa
2,Season 14/15,3,Ander Capa
3,Season 15/16,2,Ander Capa
0,Season 08/09,2,Ander Herrera
1,Season 09/10,2,Ander Herrera
2,Season 10/11,2,Ander Herrera
3,Season 11/12,4,Ander Herrera
4,Season 12/13,2,Ander Herrera
5,Season 13/14,5,Ander Herrera
