nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Dele Alli,Dele Alli,22,Centrocampista,Trequartista,Tottenham Hotspur,Inghilterra,Inghilterra,5924166.0,621060.0,760328.0,210786.8,8510000,13400000,2151683,84845,147,217,159,108,179,394,2435,3260,1200,139,1600,405,217,407,224,203,2040,698,1980,19,6,3,3,0,1,50,14,17,5,2,4,253,76,59,14,3,7,7.08,100000000,0.6015884540101575,0.50865521887805,0.5576199372229617,0.5559545367037231,0.5141224318538941,0.4760999448038206,0.5147085953997191,0.4216377829236586,0.7756046437530513,0.6590406547340887,0.5602023422447054,0.4337274412945536,0.6868871015570157,0.5590629278573611
Romelu Lukaku,Lukaku,25,Attaccante,Punta centrale,Manchester United,Inghilterra,Belgio,4030109.0,2824260.0,1535233.0,99904.2,6920000,20200000,3158916,281154,428,659,473,907,592,1480,3799,69300,2350,493,5010,1170,499,1250,674,2210,4880,7040,3650,22,6,2,5,0,1,51,27,9,8,5,0,399,185,67,13,5,1,6.84,100000000,0.591439519675582,0.6494715214703003,0.6252281351550798,0.6220463921003208,0.6360692860820731,0.584657761994246,0.6876710138339096,0.550369135730472,0.9199095515161936,0.7962973946670789,0.6958290239706622,0.4778454225939401,0.7439926774394305,0.6602683109234824
Cristiano Ronaldo,Ronaldo,33,Attaccante,Ala sinistra,Juventus FC,Italia,Portogallo,148673079.0,122537332.0,75481157.0,4388354.0,173000000,405000000,17665708,7511443,4035,7760,4800,4669,15100,77100,6041,5660,5510,15446,68000,108000,20400,47700,21700,22900,41800,19700,21400,22,12,7,5,1,2,44,44,8,13,15,3,780,583,207,158,121,44,7.82,100000000,0.9903896794977588,1.0,1.0,0.9967965598325863,0.8975945544432907,0.9703795448775309,0.9937639355449283,0.929054446626045,0.882812722474203,0.9788820173589349,0.9420812035541554,0.8001303579963338,1.0,0.9493642962562752
Mauro Icardi,Icardi,25,Attaccante,Punta centrale,FC Internazionale,Italia,Argentina,4452085.0,566184.0,1344271.0,113106.2,12500000,26000000,1254845,198598,214,124,141,3503,8230,45400,402,1280,524,314,13500,940,397,440,1010,3100,15400,3090,3690,20,13,2,6,4,0,36,29,1,0,0,0,271,159,29,6,4,0,7.04,95000000,0.5898832881963826,0.5000543075004381,0.6124480343181079,0.5674618766716429,0.5076274041915639,0.5501090413580304,0.9439043395792431,0.5681874803114156,0.6457557137185496,0.8088657424868212,0.6707416202742706,0.5049780645807095,0.6066911961658066,0.6216822374915517
Marco Asensio,Asensio,22,Attaccante,Ala sinistra,Real Madrid CF,Spagna,Spagna,10631793.0,2069304.0,1236129.0,496398.4,11600000,20300000,909318,302411,209,299,330,268,331,239,393,699,320,1502,27300,2840,2350,2990,315,1670,2790,1490,4240,25,4,4,5,0,0,53,11,6,12,1,1,209,36,38,25,4,2,6.76,90000000,0.6995456838479939,0.6205533782110374,0.6043788630681982,0.6414926417090765,0.5654261887690173,0.6492863229266453,0.5585557635505447,0.6913494716421829,0.6070051351135656,0.7268197235417886,0.6330737675906241,0.4783762515615221,0.5587923453576189,0.6145535570536468
Sergej Milinkovic-Savic,Milinkovic-Savic,23,Centrocampista,Centrale,SS Lazio,Italia,Serbia,322551.0,,,47958.9,902000,5180000,684831,9658,68,45,46,790,1220,16300,178,183,120,20,892,232,132,89,99,1710,825,457,574,20,2,1,0,0,0,48,14,9,0,0,0,182,35,23,0,0,0,7.02,90000000,0.36318528624594903,0.2995392316152194,0.3601595492676078,0.3409613557095921,0.38452069682984025,0.3740476119335811,0.782627130532445,0.3056990886408224,0.4966948393809056,0.5633098620690452,0.48448320489777325,0.3315610920394366,0.5166266330112097,0.43436100196055105
Leroy Sané,Sané,22,Attaccante,Ala sinistra,Manchester City,Inghilterra,Germania,3302069.0,554243.0,1200483.0,220848.9,1940000,11000000,1327453,194990,1729,2510,1940,118,271,1490,1406,5520,6040,3413,5380,626,889,1160,618,218,2160,1950,2220,22,8,9,4,2,1,49,14,19,9,0,2,248,64,64,18,5,5,7.55,90000000,0.6076501042592715,0.49807247922209613,0.6015635770466392,0.5690953868426689,0.7910878022868956,0.6000726095735329,0.5747994353335629,0.6089005969949108,0.829386351858482,0.7020341591285643,0.6843801591959915,0.41251275321035397,0.6150567383042842,0.6219215097471449
Saúl Níguez,Saul Niguez,24,Centrocampista,Centrale,Atlético de Madrid,Spagna,Spagna,1047537.0,480545.0,391081.0,55076.8,1360000,777000,256116,7540,169,59,54,49,29,35,139,275,114,25,1600,153,109,180,171,168,1270,163,595,24,2,3,6,1,0,56,6,5,6,1,0,296,37,19,42,9,2,7.09,90000000,0.40495018632505536,0.48480670262460845,0.49365365096823377,0.46113684663929916,0.4392944332501277,0.4114288926892446,0.34190378063986754,0.326343508840166,0.4992204840105959,0.5436241549619041,0.42696920906531766,0.12763464226387283,0.3703536106897337,0.4039285497512191
Raheem Sterling,Sterling,24,Attaccante,Ala destra,Manchester City,Inghilterra,Inghilterra,4273939.0,2210537.0,1519236.0,203524.4,16100000,721000000,1802004,810844,375,1030,315,283,772,611,3401,13200,10600,399,4340,810,3260,2200,684,559,3580,14800,2980,23,10,9,6,1,2,46,23,17,8,4,1,314,85,91,37,10,10,7.83,90000000,0.6572241124431725,0.6266918280836352,0.6242203361885852,0.6360454255717977,0.6314740697049265,0.6748985778022085,0.6198185189195965,0.5251049437434631,0.9125748850727815,0.8036571254228461,0.6945880201109703,0.862126964963323,0.6605113402756748,0.6907547911472922
Paul Pogba,Pogba,25,Centrocampista,Centrale,Manchester United,Inghilterra,Francia,30889367.0,7269139.0,6131385.0,1256128.0,58700000,73800000,3260924,1294058,561,9560,2740,2343,6800,38700,5267,52600,2680,957,24100,2360,26500,52500,10700,7290,10700,15300,9540,21,5,6,6,2,1,37,6,12,5,0,1,315,57,74,43,4,10,7.04,90000000,0.8239574341589767,0.7373685368183934,0.7584590121812056,0.7732616610528585,0.7985396052810642,0.960510696571886,0.9152896796505354,0.6631886749503564,0.9277060864544332,0.8894531029258778,0.8591146409723588,0.6171210797920759,0.7487192689180998,0.8036648343366277
