nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Marco Reus,0.697,0.792,0.692,0.727,0.724,0.511,0.535,0.532,0.631,0.589,0.587,0.491,0.539,0.612
Jérôme Boateng,0.512,0.678,0.67,0.62,0.729,0.514,0.437,0.437,0.552,0.595,0.544,0.389,0.538,0.55
Sergio Ramos,0.781,0.847,0.848,0.825,0.613,0.599,0.733,0.795,0.731,0.796,0.711,0.621,0.688,0.732
Karim Benzema,0.75,0.844,0.795,0.796,0.646,0.933,0.733,0.788,0.694,0.84,0.772,0.518,0.641,0.744
Tanguy Ndombélé,0.235,0.164,0.257,0.218,0.162,0.693,0.227,0.206,0.361,0.505,0.359,0.22,0.304,0.303
Houssem Aouar,0.266,0.193,0.282,0.247,0.14,0.453,0.038,0.231,0.343,0.362,0.261,0.097,0.251,0.241
Ryan Sessegnon,0.249,0.229,0.264,0.247,0.175,0.453,0.215,0.271,0.609,0.472,0.366,0.163,0.53,0.33
Vinícius Júnior,0.574,0.486,0.557,0.539,0.36,0.404,0.284,0.507,0.413,0.477,0.408,0.543,0.562,0.47
Mikel Oyarzabal,0.147,0.051,0.164,0.121,0.161,0.19,0.281,0.549,0.291,0.336,0.301,0.166,0.161,0.227
Trent Alexander-Arnold,0.462,0.446,0.488,0.465,0.354,0.292,0.144,0.243,0.594,0.493,0.353,0.413,0.549,0.407
Franck Kessié,0.392,0.337,0.388,0.372,0.164,0.376,0.65,0.248,0.437,0.453,0.388,0.095,0.286,0.348
Wilfred Ndidi,0.296,0.301,0.331,0.309,0.338,0.362,0.363,0.258,0.623,0.488,0.405,0.203,0.327,0.354
Andrew Robertson,0.408,0.416,0.485,0.436,0.385,0.309,0.362,0.172,0.656,0.539,0.404,0.621,0.541,0.445
Thomas Partey,0.248,0.27,0.312,0.277,0.121,0.297,0.24,0.388,0.335,0.48,0.31,0.284,0.315,0.299
José Gayà,0.21,0.248,0.347,0.269,0.208,0.302,0.154,0.481,0.482,0.37,0.333,0.755,0.167,0.339
Tiemoué Bakayoko,0.459,0.302,0.405,0.389,0.409,0.712,0.598,0.404,0.621,0.589,0.556,0.346,0.443,0.481
Andrea Belotti,0.423,0.374,0.26,0.352,0.385,0.408,0.828,0.363,0.571,0.538,0.516,0.409,0.362,0.447
Felipe Anderson,0.34,0.304,0.407,0.35,0.405,0.344,0.683,0.438,0.621,0.553,0.507,0.61,0.432,0.467
Jordan Pickford,0.43,0.022,0.423,0.292,0.382,0.417,0.49,0.37,0.704,0.622,0.498,0.371,0.691,0.448
Luis Alberto,0.303,0.249,0.322,0.292,0.448,0.449,0.646,0.662,0.514,0.61,0.555,0.757,0.295,0.478
Kieran Trippier,0.392,0.332,0.453,0.393,0.362,0.412,0.388,0.389,0.695,0.601,0.474,0.217,0.649,0.445
Pablo Sarabia,0.248,0.203,0.355,0.269,0.289,0.33,0.389,0.609,0.371,0.581,0.428,0.419,0.203,0.363
Nacho Fernández,0.534,0.615,0.667,0.605,0.323,0.29,0.213,0.536,0.336,0.552,0.375,0.479,0.439,0.453
