nome,Instagram,Facebook,Twitter,SOCIAL,Germania,Francia,Italia,Spagna,Inghilterra,Internazionale,MEDIA,GOOGLE,WIKIPEDIA,IPOP
Saúl Níguez,0.405,0.485,0.494,0.461,0.402,0.411,0.342,0.363,0.499,0.544,0.427,0.128,0.37,0.404
Raheem Sterling,0.657,0.627,0.624,0.636,0.578,0.675,0.62,0.547,0.913,0.804,0.689,0.862,0.661,0.688
Paul Pogba,0.824,0.737,0.758,0.773,0.732,0.961,0.915,0.68,0.928,0.889,0.851,0.617,0.749,0.799
Isco,0.754,0.657,0.743,0.718,0.602,0.693,0.722,0.799,0.674,0.853,0.724,0.498,0.551,0.686
Gareth Bale,0.769,0.865,0.86,0.831,0.624,0.889,0.605,0.665,0.783,0.785,0.725,0.526,0.709,0.734
Gabriel Jesus,0.612,0.568,0.559,0.58,0.5,0.494,0.582,0.507,0.704,0.658,0.574,0.752,0.569,0.591
Ousmane Dembélé,0.693,0.65,0.553,0.632,0.63,0.958,0.586,0.785,0.66,0.759,0.73,0.389,0.644,0.664
N'Golo Kanté,0.663,0.548,0.556,0.589,0.586,0.907,0.57,0.525,0.867,0.713,0.695,0.719,0.65,0.664
Raphaël Varane,0.659,0.732,0.743,0.712,0.529,0.682,0.583,0.717,0.597,0.706,0.636,0.556,0.567,0.643
Roberto Firmino,0.675,0.543,0.585,0.601,0.611,0.509,0.559,0.481,0.802,0.68,0.607,0.555,0.627,0.602
Jan Oblak,0.462,0.406,0.441,0.437,0.466,0.484,0.496,0.694,0.558,0.645,0.557,0.413,0.466,0.503
James Rodríguez,0.824,0.877,0.861,0.854,0.645,0.605,0.635,0.688,0.712,0.749,0.672,0.774,0.675,0.731
Marc-André ter Stegen,0.672,0.653,0.611,0.645,0.69,0.522,0.537,0.655,0.575,0.669,0.608,0.394,0.493,0.588
Christian Eriksen,0.493,0.459,0.541,0.498,0.51,0.649,0.656,0.476,0.845,0.724,0.643,0.538,0.507,0.581
Robert Lewandowski,0.688,0.76,0.597,0.682,0.786,0.682,0.66,0.638,0.71,0.752,0.705,0.554,0.63,0.678
Toni Kroos,0.754,0.787,0.776,0.772,0.764,0.613,0.61,0.728,0.664,0.725,0.684,0.433,0.602,0.678
Sergio Agüero,0.672,0.775,0.832,0.76,0.618,0.627,0.688,0.691,0.827,0.78,0.705,0.544,0.655,0.701
Pierre-Emerick Aubameyang,0.65,0.522,0.59,0.587,0.727,0.764,0.655,0.527,0.786,0.742,0.7,0.458,0.7,0.647
Thomas Lemar,0.409,0.415,0.447,0.424,0.404,0.561,0.364,0.397,0.615,0.571,0.485,0.301,0.513,0.454
Sadio Mané,0.573,0.508,0.531,0.537,0.509,0.467,0.427,0.423,0.763,0.625,0.536,0.348,0.63,0.528
Samuel Umtiti,0.646,0.583,0.587,0.605,0.466,0.677,0.51,0.634,0.568,0.696,0.592,0.342,0.564,0.57
Marco Verratti,0.553,0.623,0.594,0.59,0.483,0.714,0.703,0.548,0.561,0.662,0.612,0.367,0.415,0.566
Koke,0.476,0.577,0.576,0.543,0.479,0.539,0.543,0.709,0.597,0.652,0.587,0.462,0.372,0.544
Jordi Alba,0.637,0.673,0.66,0.657,0.493,0.529,0.607,0.691,0.56,0.687,0.595,0.492,0.436,0.588
David de Gea,0.69,0.732,0.821,0.748,0.573,0.663,0.587,0.742,0.771,0.774,0.685,0.616,0.603,0.688
Marcelo,0.797,0.831,0.151,0.593,0.691,0.741,0.738,0.832,0.73,0.826,0.76,0.805,0.595,0.703
Luis Suárez,0.752,0.826,0.846,0.808,0.628,0.896,0.651,0.805,0.784,0.816,0.763,0.673,0.699,0.761
Miralem Pjanic,0.583,0.552,0.5,0.545,0.479,0.515,0.82,0.519,0.569,0.664,0.594,0.425,0.471,0.554
Ivan Rakitic,0.694,0.683,0.612,0.663,0.595,0.737,0.665,0.69,0.614,0.755,0.676,0.408,0.606,0.642
Casemiro,0.661,0.689,0.629,0.66,0.493,0.521,0.554,0.67,0.563,0.662,0.577,0.357,0.475,0.57
Naby Keïta,0.426,0.389,0.43,0.415,0.555,0.407,0.324,0.371,0.588,0.536,0.464,0.307,0.577,0.446
Marcus Rashford,0.642,0.525,0.619,0.595,0.501,0.53,0.531,0.48,0.822,0.759,0.604,0.446,0.625,0.589
Nabil Fekir,0.463,0.396,0.475,0.445,0.422,0.815,0.473,0.459,0.559,0.765,0.582,0.345,0.588,0.524
Lorenzo Insigne,0.506,0.439,0.231,0.392,0.468,0.498,0.856,0.465,0.622,0.61,0.586,0.514,0.431,0.513
Thibaut Courtois,0.612,0.711,0.662,0.661,0.542,0.592,0.612,0.714,0.732,0.751,0.657,0.526,0.647,0.646
Alexandre Lacazette,0.579,0.487,0.587,0.551,0.513,0.811,0.581,0.482,0.781,0.664,0.639,0.372,0.546,0.582
Bernardo Silva,0.429,0.413,0.494,0.445,0.447,0.586,0.501,0.466,0.628,0.62,0.542,0.602,0.482,0.515
Ederson,0.486,0.435,0.366,0.429,0.453,0.531,0.538,0.457,0.627,0.593,0.533,0.383,0.505,0.489
Anthony Martial,0.669,0.569,0.635,0.624,0.58,0.77,0.605,0.597,0.888,0.758,0.7,0.781,0.563,0.674
Riyad Mahrez,0.586,0.581,0.621,0.596,0.464,0.618,0.588,0.457,0.754,0.69,0.595,0.361,0.577,0.573
Timo Werner,0.363,0.37,0.403,0.379,0.692,0.397,0.34,0.355,0.53,0.552,0.478,0.423,0.512,0.449
Virgil van Dijk,0.556,0.494,0.523,0.524,0.513,0.648,0.644,0.462,0.779,0.708,0.626,0.548,0.591,0.588
Daniel Carvajal,0.594,0.511,0.705,0.603,0.544,0.515,0.541,0.717,0.563,0.664,0.591,0.56,0.417,0.576
Álvaro Morata,0.676,0.74,0.726,0.714,0.587,0.58,0.877,0.8,0.78,0.835,0.743,0.605,0.563,0.706
Alisson,0.59,0.572,0.497,0.553,0.452,0.442,0.737,0.558,0.677,0.677,0.59,0.477,0.592,0.57
Jorginho,0.441,0.398,0.435,0.425,0.436,0.452,0.71,0.41,0.76,0.64,0.568,0.352,0.571,0.509
Kalidou Koulibaly,0.413,0.325,0.368,0.369,0.376,0.598,0.793,0.416,0.512,0.721,0.569,0.516,0.408,0.495
Thiago Alcantara,0.527,0.668,0.23,0.475,0.579,0.554,0.532,0.552,0.531,0.552,0.55,0.404,0.497,0.512
Edinson Cavani,0.612,0.701,0.638,0.65,0.631,0.971,0.743,0.678,0.716,0.799,0.756,0.602,0.649,0.704
Diego Costa,0.581,0.609,0.524,0.571,0.596,0.63,0.697,0.779,0.789,0.797,0.715,0.802,0.646,0.677
Kai Havertz,0.248,0.173,0.266,0.229,0.536,0.339,0.24,0.235,0.322,0.296,0.328,0.16,0.249,0.279
John Stones,0.407,0.389,0.24,0.345,0.478,0.394,0.37,0.372,0.842,0.639,0.516,0.794,0.521,0.495
Marquinhos,0.524,0.527,0.472,0.507,0.465,0.687,0.576,0.515,0.511,0.663,0.57,0.388,0.367,0.518
Joshua Kimmich,0.532,0.495,0.513,0.514,0.708,0.518,0.492,0.45,0.528,0.562,0.543,0.37,0.448,0.511
Sergi Roberto,0.63,0.631,0.665,0.642,0.441,0.465,0.49,0.663,0.535,0.663,0.543,0.783,0.402,0.579
Douglas Costa,0.584,0.54,0.495,0.54,0.613,0.488,0.742,0.511,0.598,0.624,0.596,0.652,0.505,0.578
Alexis Sánchez,0.678,0.703,0.683,0.688,0.598,0.636,0.586,0.694,0.833,0.726,0.679,0.634,0.699,0.679
Mats Hummels,0.533,0.684,0.657,0.625,0.822,0.553,0.533,0.496,0.6,0.682,0.614,0.389,0.443,0.581
Gonzalo Higuaín,0.628,0.444,0.769,0.614,0.602,0.696,0.972,0.721,0.71,0.843,0.757,0.527,0.634,0.686
Arthur,0.66,0.442,0.144,0.416,0.647,0.617,0.545,0.591,0.829,0.756,0.664,0.857,0.557,0.604
Federico Chiesa,0.298,0.205,0.0,0.168,0.216,0.278,0.672,0.223,0.374,0.49,0.375,0.469,0.343,0.324
Lucas Hernández,0.458,0.45,0.445,0.451,0.472,0.576,0.491,0.581,0.567,0.693,0.563,0.596,0.564,0.536
José Giménez,0.398,0.444,0.486,0.443,0.454,0.458,0.507,0.695,0.514,0.655,0.547,0.564,0.359,0.503
Kingsley Coman,0.446,0.472,0.458,0.459,0.651,0.682,0.609,0.479,0.539,0.584,0.591,0.471,0.428,0.529
Milan Skriniar,0.42,0.25,0.479,0.383,0.249,0.348,0.732,0.324,0.423,0.499,0.429,0.368,0.349,0.404
Kepa,0.445,0.013,0.388,0.282,0.37,0.362,0.468,0.606,0.551,0.531,0.481,0.404,0.566,0.428
Fred,0.545,0.287,0.389,0.407,0.599,0.59,0.569,0.553,0.936,0.68,0.655,0.853,0.602,0.6
Florian Thauvin,0.454,0.386,0.561,0.467,0.338,0.886,0.463,0.373,0.504,0.568,0.522,0.339,0.448,0.484
Adrien Rabiot,0.43,0.454,0.327,0.403,0.463,0.82,0.645,0.63,0.562,0.789,0.651,0.442,0.454,0.547
Aymeric Laporte,0.4,0.38,0.39,0.39,0.463,0.802,0.453,0.597,0.651,0.687,0.609,0.481,0.515,0.529
Niklas Süle,0.293,0.329,0.383,0.335,0.616,0.323,0.276,0.244,0.393,0.397,0.375,0.283,0.376,0.356
Rodrigo Moreno,0.272,0.285,0.349,0.302,0.293,0.265,0.293,0.522,0.375,0.464,0.369,0.594,0.452,0.379
Ciro Immobile,0.464,0.539,0.482,0.495,0.565,0.483,0.853,0.493,0.584,0.593,0.595,0.644,0.475,0.561
Kyle Walker,0.445,0.559,0.614,0.539,0.452,0.415,0.447,0.393,0.719,0.653,0.513,0.646,0.54,0.535
Heung-min Son,0.556,0.535,0.522,0.538,0.572,0.367,0.46,0.304,0.653,0.585,0.49,0.408,0.599,0.506
David Alaba,0.556,0.671,0.638,0.622,0.709,0.538,0.512,0.612,0.543,0.635,0.592,0.461,0.43,0.573
Thomas Müller,0.544,0.761,0.72,0.675,0.861,0.597,0.476,0.525,0.654,0.564,0.613,0.777,0.605,0.644
Willian,0.599,0.723,0.3,0.54,0.516,0.569,0.594,0.606,0.861,0.689,0.639,0.523,0.532,0.592
Jadon Sancho,0.425,0.396,0.355,0.392,0.48,0.31,0.187,0.297,0.616,0.52,0.402,0.326,0.596,0.41
Leon Bailey,0.291,0.249,0.203,0.247,0.512,0.242,0.287,0.266,0.504,0.476,0.381,0.58,0.476,0.371
Richarlison,0.478,0.27,0.373,0.374,0.238,0.378,0.343,0.275,0.648,0.603,0.414,0.263,0.514,0.398
Malcom,0.551,0.511,0.52,0.527,0.41,0.577,0.591,0.527,0.604,0.684,0.565,0.474,0.547,0.545
Christian Pulisic,0.471,0.404,0.422,0.432,0.62,0.536,0.387,0.437,0.559,0.752,0.548,0.362,0.6,0.504
