nome,nome_chiave,eta,ruolo,ruolo_dettaglio,squadra,nazione_squadra,nazione_giocatore,instagram_followers,facebook_followers,twitter_followers,insta_likes_avg,google_hits,google_hits_1,wiki_visual,insta_hashtag,GER_kicker,GER_bild_G,GER_eurosport_G,ITA_corriere,ITA_sky_G,ITA_gazzetta_G,ENG_thesun,ENG_sky_G,ENG_guardian_G,SPA_marca,SPA_as_G,SPA_mundodep_G,FRA_francefootball_G,FRA_lequipe_G,FRA_eurosport_G,FRA_le10sport_G,INT_eurosport_G,INT_espn_G,INT_bein_G,pres_2018_tot,goal_2018_tot,assist_2018_tot,pres_2018_CL,goal_2018_CL,assist_2018_CL,pres_2017_tot,goal_2017_tot,assist_2017_tot,pres_2017_CL,goal_2017_CL,assist_2017_CL,pres_tot,goal_tot,assist_tot,pres_tot_CL,goal_tot_CL,assist_tot_CL,whoscored1819,valore
Mauro Icardi,Icardi,25,Attaccante,Punta centrale,FC Internazionale,Italia,Argentina,4452085,566184,1344271,113106.2,12500000,26000000,1254845,198598,214,124,141,3503,8230,45400,402,1280,524,314,13500,940,397,440,1010,3100,15400,3090,3690,20,13,2,6,4,0,36,29,1,0,0,0,271,159,29,6,4,0,7.04,95000000
Marco Asensio,Asensio,22,Attaccante,Ala sinistra,Real Madrid CF,Spagna,Spagna,10631793,2069304,1236129,496398.4,11600000,20300000,909318,302411,209,299,330,268,331,239,393,699,320,1502,27300,2840,2350,2990,315,1670,2790,1490,4240,25,4,4,5,0,0,53,11,6,12,1,1,209,36,38,25,4,2,6.76,90000000
Sergej Milinkovic-Savic,Milinkovic-Savic,23,Centrocampista,Centrale,SS Lazio,Italia,Serbia,322551,,,47958.9,902000,5180000,684831,9658,68,45,46,790,1220,16300,178,183,120,20,892,232,132,89,99,1710,825,457,574,20,2,1,0,0,0,48,14,9,0,0,0,182,35,23,0,0,0,7.02,90000000
Leroy Sané,Sané,22,Attaccante,Ala sinistra,Manchester City,Inghilterra,Germania,3302069,554243,1200483,220848.9,1940000,11000000,1327453,194990,1729,2510,1940,118,271,1490,1406,5520,6040,3413,5380,626,889,1160,618,218,2160,1950,2220,22,8,9,4,2,1,49,14,19,9,0,2,248,64,64,18,5,5,7.55,90000000
Saúl Níguez,Saul Niguez,24,Centrocampista,Centrale,Atlético de Madrid,Spagna,Spagna,1047537,480545,391081,55076.8,1360000,777000,256116,7540,169,59,54,49,29,35,139,275,114,25,1600,153,109,180,171,168,1270,163,595,24,2,3,6,1,0,56,6,5,6,1,0,296,37,19,42,9,2,7.09,90000000
Raheem Sterling,Sterling,24,Attaccante,Ala destra,Manchester City,Inghilterra,Inghilterra,4273939,2210537,1519236,203524.4,16100000,721000000,1802004,810844,375,1030,315,283,772,611,3401,13200,10600,399,4340,810,3260,2200,684,559,3580,14800,2980,23,10,9,6,1,2,46,23,17,8,4,1,314,85,91,37,10,10,7.83,90000000
Paul Pogba,Pogba,25,Centrocampista,Centrale,Manchester United,Inghilterra,Francia,30889367,7269139,6131385,1256128,58700000,73800000,3260924,1294058,561,9560,2740,2343,6800,38700,5267,52600,2680,957,24100,2360,26500,52500,10700,7290,10700,15300,9540,21,5,6,6,2,1,37,6,12,5,0,1,315,57,74,43,4,10,7.04,90000000
Isco,Isco,26,Centrocampista,Trequartista,Real Madrid CF,Spagna,Spagna,16507480,3047493,5216127,604351.9,29000000,24300000,861079,789188,404,662,896,524,5200,830,615,1220,775,3742,84800,4750,825,776,18300,7210,9770,13000,4770,18,4,1,4,1,0,49,9,10,11,0,2,349,65,64,65,8,11,6.78,90000000
Gareth Bale,Gareth Bale,29,Attaccante,Ala destra,Real Madrid CF,Spagna,Galles,37898328,28568021,17583251,513341.5,21700000,31500000,2500865,598109,614,1200,615,361,328,706,2151,2170,2510,2216,7630,2850,25500,47300,1400,2440,7770,3200,3690,22,10,5,5,3,2,39,21,7,7,3,2,458,159,133,59,20,18,7.12,90000000
Gabriel Jesus,Gabriel Jesus,21,Attaccante,Punta centrale,Manchester City,Inghilterra,Brasile,11237646,1174218,769620,132277.3,133000000,260000000,973297,107811,241,243,189,341,230,548,1360,1180,781,216,2850,776,322,349,297,542,1590,1440,1260,23,7,2,4,3,0,42,17,5,9,4,1,124,52,18,13,7,1,6.77,80000000
Ousmane Dembélé,Dembélé,21,Attaccante,Ala sinistra,FC Barcellona,Spagna,Francia,7255740,,724062,499368.5,6980000,8800000,1613331,378787,394,1320,1170,325,233,652,663,1110,523,5310,60700,3150,18400,41200,19700,2380,2040,7460,2990,22,10,5,4,2,1,24,4,9,3,1,0,124,36,40,17,5,7,7.54,80000000
N'Golo Kanté,Kanté,27,Centrocampista,Mediano,Chelsea FC,Inghilterra,Francia,5661090,951136,744532,562190.2,3910000,190000000,1684661,163414,163,1840,635,120,1180,252,1563,71000,1350,209,5570,565,24900,50700,2340,6850,2120,2650,2290,22,2,2,0,0,0,48,1,2,6,0,0,235,12,18,6,0,0,6.96,80000000
Raphaël Varane,Varane,25,Difensore,Difensore centrale,Real Madrid CF,Spagna,Francia,11548441,6867767,5240536,175770.6,6800000,41700000,962325,326355,306,353,244,381,261,418,343,399,474,4489,12700,3640,1300,2390,2170,4110,3440,610,4590,19,0,0,3,0,0,44,0,2,11,0,1,276,12,6,65,2,2,6.75,80000000
Roberto Firmino,Firmino,27,Attaccante,Seconda punta,FC Liverpool,Inghilterra,Brasile,7919426,894260,,384419.9,10700000,41300000,1437252,281565,698,853,487,243,260,355,1442,15800,970,248,1690,581,322,530,287,136,2400,1430,1510,25,6,4,6,2,0,54,27,17,13,10,8,360,113,79,19,12,8,7.09,80000000
Jan Oblak,Oblak,25,Portiere,Portiere,Atlético de Madrid,Spagna,Slovenia,832426,,,81310.7,2870000,11000000,487695,37038,190,142,146,192,118,162,213,348,299,1216,21700,3340,247,394,256,2610,1830,808,1320,24,0,0,6,0,0,49,0,0,6,0,0,297,0,0,40,0,0,6.67,80000000
James Rodríguez,James Rodriguez,27,Centrocampista,Trequartista,FC Bayern Monaco,Germania,Colombia,40632665,32708320,17885066,1406475,51500000,317000000,1981170,795322,254,957,4140,444,515,848,790,1370,1560,1562,19400,2410,448,1110,1630,2880,3760,3470,2660,11,3,2,3,0,1,39,8,14,12,1,2,357,99,119,49,5,11,6.9,80000000
Marc-André ter Stegen,Ter Stegen,26,Portiere,Portiere,FC Barcellona,Spagna,Germania,7867719,2927218,1325713,321338.9,1280000,9270000,585052,325297,1060,2550,1190,251,163,285,281,383,334,1230,6750,4620,324,557,401,603,2470,1030,1510,23,0,0,5,0,0,48,0,0,9,0,0,363,0,1,46,0,0,6.61,80000000
Christian Eriksen,Eriksen,26,Centrocampista,Trequartista,Tottenham Hotspur,Inghilterra,Danimarca,1327963,,640482,72236.2,16500000,35200000,643342,69120,236,261,245,195,373,6930,1004,70000,1170,318,1240,565,271,2740,3850,804,2230,5570,1440,22,4,8,5,2,1,47,14,13,6,2,1,414,97,142,33,6,9,6.85,80000000
Sergio Busquets,Busquets,30,Centrocampista,Mediano,FC Barcellona,Spagna,Spagna,,3113955,,,7570000,12100000,587718,203164,400,446,246,289,307,626,318,793,752,3495,14600,8470,465,719,1850,2010,3230,1290,1790,25,0,1,6,0,0,50,1,5,10,0,0,507,13,34,100,4,6,7.08,80000000
